HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6201.40.15","4","Containing 36 percent or more by weight of wool or fine animal hair","","49.7¢/kg + 19.7%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","52.9¢/kg + 58.5%","",""
"6201.40.15.10","5","Men's (434)","[""doz."",""kg""]","","","","",""
"6201.40.15.20","5","Boys' (434)","[""doz."",""kg""]","","","","",""
"6201.40.20","4","Other","","27.7%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"","5","Raincoats:","","","","","",""
"6201.40.20.15","6","Men's (634)","[""doz."",""kg""]","","","","",""
"6201.40.20.20","6","Boys' (634)","[""doz."",""kg""]","","","","",""
"","5","Other:","","","","","",""
"6201.40.20.30","6","Men's (634)","[""doz."",""kg""]","","","","",""
"6201.40.20.40","6","Boys' (634)","[""doz."",""kg""]","","","","",""
"","2","Anoraks (including ski-jackets), windbreakers and similar articles (including padded, sleeveless jackets):","","","","","",""
"","3","Recreational performance outerwear:","","","","","",""
"6201.40.25.00","4","Containing 15 percent or more by weight of down and waterfowl plumage and of which down comprises 35 percent or more by weight; containing 10 percent or more by weight of down (653)","[""doz."",""kg""]","4.4%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","60%","",""
"","4","Other:","","","","","",""
"6201.40.35","5","Padded sleeveless jackets:","","14.9%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","76%","",""
"6201.40.35.10","6","With attachments for sleeves (634)","[""doz."",""kg""]","","","","",""
"6201.40.35.20","6","Other (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"","5","Other:","","","","","",""
"6201.40.40","6","Containing 36 percent or more by weight of wool or fine animal hair","","49.5¢/kg + 19.6%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","52.9¢/kg + 58.5%","",""
"6201.40.40.11","7","Men's (434)","[""doz."",""kg""]","","","","",""
"6201.40.40.21","7","Boys' (434)","[""doz."",""kg""]","","","","",""
"","6","Other:","","","","","",""
