HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"8801.00.00","0","Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft","","Free","","50%","",""
"","1","Gliders and hang gliders:","","","","","",""
"8801.00.00.10","2","Hang gliders","[""No.""]","","","","",""
"8801.00.00.20","2","Gliders","[""No.""]","","","","",""
"8801.00.00.50","1","Other","[""No.""]","","","","",""
"8802","0","Other aircraft (for example, helicopters, airplanes, except unmanned aircraft of heading 8806); spacecraft (including satellites) and suborbital and spacecraft launch vehicles:","","","","","",""
"","1","Helicopters:","","","","","",""
"8802.11.01","2","Of an unladen weight not exceeding 2,000 kg","","Free","","30%","",""
"","3","New:","","","","","",""
"8802.11.01.15","4","Military","[""No.""]","","","","",""
"","4","Other:","","","","","",""
"8802.11.01.30","5","Of an unladen weight not exceeding 998 kg","[""No.""]","","","","",""
"8802.11.01.45","5","Of an unladen weight exceeding 998 but not exceeding 2,000 kg","[""No.""]","","","","",""
"","3","Used or rebuilt:","","","","","",""
"8802.11.01.60","4","Military","[""No.""]","","","","",""
"8802.11.01.90","4","Other","[""No.""]","","","","",""
"8802.12.01","2","Of an unladen weight exceeding 2,000 kg","","Free","","30%","",""
"","3","New:","","","","","",""
"8802.12.01.20","4","Military","[""No.""]","","","","",""
"8802.12.01.40","4","Other","[""No.""]","","","","",""
"","3","Used or rebuilt:","","","","","",""
"8802.12.01.60","4","Military","[""No.""]","","","","",""
"8802.12.01.80","4","Other","[""No.""]","","","","",""
"8802.20.01","1","Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","","Free","","30%","",""
"8802.20.01.15","2","Of an unladen weight not exceeding 450 kg","[""No.""]","","","","",""
"","2","Other:","","","","","",""
"","3","New:","","","","","",""
"","4","Military aircraft:","","","","","",""
"8802.20.01.20","5","Airplanes","[""No.""]","","","","",""
"8802.20.01.30","5","Other aircraft","[""No.""]","","","","",""
"","4","Other:","","","","","",""
"8802.20.01.40","5","Single engine airplanes","[""No.""]","","","","",""
"8802.20.01.50","5","Multiple engine airplanes","[""No.""]","","","","",""
"8802.20.01.60","5","Other aircraft","[""No.""]","","","","",""
"","3","Used or rebuilt:","","","","","",""
"8802.20.01.70","4","Military aircraft","[""No.""]","","","","",""
"8802.20.01.80","4","Other aircraft","[""No.""]","","","","",""
"8802.30.01","1","Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","","Free","","30%","",""
"","2","New:","","","","","",""
"","3","Military aircraft:","","","","","",""
"8802.30.01.10","4","Fighters","[""No.""]","","","","",""
"8802.30.01.20","4","Other","[""No.""]","","","","",""
"","3","Other:","","","","","",""
"","4","Multiple engine airplanes:","","","","","",""
"8802.30.01.30","5","Of an unladen weight exceeding 2,000 but not exceeding 4,536 kg","[""No.""]","","","","",""
"","5","Of an unladen weight exceeding 4,536 but not exceeding 15,000 kg:","","","","","",""
"8802.30.01.40","6","Turbofan powered","[""No.""]","","","","",""
"8802.30.01.50","6","Other","[""No.""]","","","","",""
"8802.30.01.60","4","Other","[""No.""]","","","","",""
"","2","Used or rebuilt:","","","","","",""
"8802.30.01.70","3","Military aircraft","[""No.""]","","","","",""
"8802.30.01.80","3","Other aircraft","[""No.""]","","","","",""
"8802.40.01","1","Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg","","Free","","30%","",""
"","2","New:","","","","","",""
"","3","Military aircraft:","","","","","",""
"8802.40.01.15","4","Fighters","[""No.""]","","","","",""
"8802.40.01.20","4","Cargo transports","[""No.""]","","","","",""
"8802.40.01.30","4","Other","[""No.""]","","","","",""
"","3","Other:","","","","","",""
"8802.40.01.40","4","Passenger transports","[""No.""]","","","","",""
"8802.40.01.60","4","Cargo transports","[""No.""]","","","","",""
"8802.40.01.70","4","Other (including passenger/cargo combinations)","[""No.""]","","","","",""
"","2","Used or rebuilt:","","","","","",""
"8802.40.01.80","3","Military aircraft","[""No.""]","","","","",""
"8802.40.01.90","3","Other aircraft","[""No.""]","","","","",""
"8802.60","1","Spacecraft (including satellites) and suborbital and spacecraft launch vehicles:","","","","","",""
"8802.60.30.00","2","Communications satellites","[""No.""]","Free","","Free","",""
"8802.60.90","2","Other","","Free","","27.5%","",""
"8802.60.90.20","3","Military","[""No.""]","","","","",""
"8802.60.90.40","3","Other","[""No.""]","","","","",""
"8804.00.00.00","0","Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"8805","0","Aircraft launching gear; deck-arrestor or similar gear; ground flying trainers; parts of the foregoing articles:","","","","","",""
