HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5701","0","Carpets and other textile floor coverings, knotted, whether or not made up:","","","","","",""
"5701.10","1","Of wool or fine animal hair:","","","","","",""
"","2","In which the pile was hand-inserted or hand-knotted during weaving or knitting, with over 50 percent by weight of the pile being hair of the alpaca, guanaco, huarizo, llama, misti, suri or any combination of these hairs:","","","","","",""
"5701.10.13.00","3","Certified hand-loomed and folklore products","[""m<sup>2<\/sup>"",""kg""]","Free","","45%","",""
"5701.10.16.00","3","Other (465)","[""m<sup>2<\/sup>"",""kg""]","Free","","45%","",""
"","2","Other:","","","","","",""
"5701.10.40.00","3","Hand-hooked, that is, in which the tufts were inserted and knotted by hand or by means of a hand tool (465)","[""m<sup>2<\/sup>"",""kg""]","Free","","45%","",""
"5701.10.90.00","3","Other (465)","[""m<sup>2<\/sup>"",""kg""]","4.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,NP,OM, P,PA,PE,S,SG)","45%","",""
"5701.90","1","Of other textile materials:","","","","","",""
"5701.90.10","2","With pile inserted and knotted during weaving or knitting","","Free","","45%","",""
"5701.90.10.10","3","Hand-knotted","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5701.90.10.20","4","Of cotton (369)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5701.90.10.30","4","Of man-made fibers (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5701.90.10.90","4","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5701.90.20","2","Other","","Free","","60%","",""
"5701.90.20.10","3","Hand-hooked, that is, in which the tufts were inserted and knotted by hand or by means of a hand tool","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5701.90.20.20","4","Of cotton (369)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5701.90.20.30","4","Of man-made fibers (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5701.90.20.90","4","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5702","0","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar handwoven rugs:","","","","","",""
