HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6101","0","Men's or boys' overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets), windbreakers and similar articles, knitted or crocheted, other than those of heading 6103:","","","","","",""
"6101.20.00","1","Of cotton","","15.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","50%","",""
"6101.20.00.10","2","Men's (334)","[""doz."",""kg""]","","","","",""
"6101.20.00.20","2","Boys' (334)","[""doz."",""kg""]","","","","",""
"6101.30","1","Of man-made fibers:","","","","","",""
"6101.30.10.00","2","Containing 25 percent or more by weight of leather (634)","[""doz."",""kg""]","5.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","35%","",""
"","2","Other:","","","","","",""
"6101.30.15.00","3","Containing 23 percent or more by weight of wool or fine animal hair (434)","[""doz."",""kg""]","38.6¢/kg + 10%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","77.2¢/kg + 54.5%","",""
"6101.30.20","3","Other","","28.2%","Free (AU,BH,CL, CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","72%","",""
"6101.30.20.10","4","Men's (634)","[""doz."",""kg""]","","","","",""
"6101.30.20.20","4","Boys' (634)","[""doz."",""kg""]","","","","",""
"6101.90","1","Of other textile materials:","","","","","",""
"6101.90.05.00","2","Of wool or fine animal hair (434)","[""doz."",""kg""]","61.7¢/kg + 16%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","77.2¢/kg + 54.5%","",""
"6101.90.10.00","2","Containing 70 percent or more by weight of silk or silk waste (734)","[""doz."",""kg""]","0.9%","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"6101.90.90","2","Other","","5.7%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"6101.90.90.10","3","Subject to cotton restraints (334)","[""doz."",""kg""]","","","","",""
"6101.90.90.20","3","Subject to wool restraints (434)","[""doz."",""kg""]","","","","",""
"6101.90.90.30","3","Subject to man-made fiber restraints (634)","[""doz."",""kg""]","","","","",""
"6101.90.90.60","3","Other (834)","[""doz."",""kg""]","","","","",""
"6102","0","Women's or girls' overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets), windbreakers and similar articles, knitted or crocheted, other than those of heading 6104:","","","","","",""
"6102.10.00.00","1","Of wool or fine animal hair (435)","[""doz."",""kg""]","55.9¢/kg + 16.4%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.3¢/kg + 54.5%","",""
"6102.20.00","1","Of cotton","","15.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"6102.20.00.10","2","Women's (335)","[""doz."",""kg""]","","","","",""
"6102.20.00.20","2","Girls' (335)","[""doz."",""kg""]","","","","",""
"6102.30","1","Of man-made fibers:","","","","","",""
