HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5310.10.00.40","2","Over 130 cm but not over 250 cm in width","[""m²"",""kg""]","","","","",""
"5310.10.00.60","2","Over 250 cm in width","[""m²"",""kg""]","","","","",""
"5310.90.00.00","1","Other","[""m²"",""kg""]","Free","","11.5%","",""
"5311.00","0","Woven fabrics of other vegetable textile fibers; woven fabrics of paper yarn:","","","","","",""
"","1","Of vegetable textile fibers:","","","","","",""
"5311.00.20.00","2","Containing more than 17 percent by weight of wool or fine animal hair (410)","[""m²"",""kg""]","14.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"","2","Other:","","","","","",""
"5311.00.30","3","Containing cotton and man-made fibers","","Free","","78%","",""
"","4","Subject to cotton restraints:","","","","","",""
"5311.00.30.05","5","Poplin or broadcloth (314)","[""m²"",""kg""]","","","","",""
"5311.00.30.10","5","Sheeting (313)","[""m²"",""kg""]","","","","",""
"5311.00.30.15","5","Printcloth (315)","[""m²"",""kg""]","","","","",""
"5311.00.30.20","5","Other (220)","[""m²"",""kg""]","","","","",""
"","4","Subject to man-made fiber restraints:","","","","","",""
"5311.00.30.55","5","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"5311.00.30.60","5","Sheeting (613)","[""m²"",""kg""]","","","","",""
"5311.00.30.65","5","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5311.00.30.70","5","Other (220)","[""m²"",""kg""]","","","","",""
"5311.00.30.90","4","Other (810)","[""m²"",""kg""]","","","","",""
"5311.00.40","3","Other","","Free","","40%","",""
"5311.00.40.10","4","Of true hemp fibers (810)","[""m²"",""kg""]","","","","",""
"5311.00.40.20","4","Other (810)","[""m²"",""kg""]","","","","",""
"5311.00.60.00","1","Of paper yarn","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
