HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6004.10.00","1","Containing by weight <il>5 percent</il> or more of elastomeric yarn but not containing rubber thread","","12.3%","Free (AU,BH,CL,CO,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","113.5%","",""
"","2","Warp knit:","","","","","",""
"6004.10.00.10","3","Open-work figured fabrics (222)","[""kg""]","","","","",""
"6004.10.00.25","3","Other (222)","[""kg""]","","","","",""
"6004.10.00.85","2","Other (222)","[""kg""]","","","","",""
"6004.90","1","Other:","","","","","",""
"6004.90.20","2","Containing elastomeric yarn and rubber thread","","12.3%","Free (AU,BH,CL,CO,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","113.5%","",""
"","3","Warp knit:","","","","","",""
"6004.90.20.10","4","Open-work figured fabrics (222)","[""kg""]","","","","",""
"6004.90.20.25","4","Other (222)","[""kg""]","","","","",""
"6004.90.20.85","3","Other (222)","[""kg""]","","","","",""
"6004.90.90.00","2","Other (222)","[""kg""]","7%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","60%","",""
"6005","0","Warp knit fabrics (including those made on galloon knitting machines), other than those of headings 6001 to 6004:","","","","","",""
"","1","Of cotton:","","","","","",""
"6005.21.00.00","2","Unbleached or bleached (222)","[""kg""]","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P, PA,PE,S,SG)","45%","",""
"6005.22.00.00","2","Dyed (222)","[""kg""]","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"6005.23.00.00","2","Of yarns of different colors (222)","[""kg""]","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"6005.24.00.00","2","Printed (222)","[""kg""]","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"","1","Of synthetic fibers:","","","","","",""
"6005.35.00.00","2","Fabrics specified in subheading note 1 to this chapter","[""kg""]","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","113.5%","",""
