HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2001","0","Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid:","","","","","",""
"2001.10.00.00","1","Cucumbers including gherkins","[""kg""]","9.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"2001.90","1","Other:","","","","","",""
"","2","Capers:","","","","","",""
"2001.90.10.00","3","In immediate containers holding more than 3.4 kg","[""kg""]","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"2001.90.20.00","3","Other","[""kg""]","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","2","Other:","","","","","",""
"","3","Vegetables:","","","","","",""
"2001.90.25.00","4","Artichokes","[""kg""]","10.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"2001.90.30.00","4","Beans","[""kg""]","5.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"2001.90.33.00","4","Nopalitos","[""kg""]","7.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"2001.90.34.00","4","Onions","[""kg""]","3.6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"2001.90.35.00","4","Pimientos (<u><i>Capsicum</i></u> <u><i>anuum</i></u>)","[""kg""]","8.1%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","38.5%","",""
"2001.90.38.00","4","Other","[""kg""]","9.6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"2001.90.42.00","3","Chestnuts, other than Chinese water chestnuts","[""kg""]","4.9¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55¢/kg","",""
"2001.90.45.00","3","Mangoes","[""kg""]","1.5¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33¢/kg","",""
"2001.90.48.00","3","Chinese water chestnuts","[""kg""]","9.6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"2001.90.50.00","3","Walnuts","[""kg""]","7¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33¢/kg","",""
