HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2501.00.00.00","0","Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents; sea water","[""t""]","Free","","26%","",""
"2502.00.00.00","0","Unroasted iron pyrites","[""t""]","Free","","Free","",""
"2503.00.00","0","Sulfur of all kinds, other than sublimed sulfur, precipitated sulfur and colloidal sulfur","","Free","","Free","",""
"2503.00.00.10","1","Crude or unrefined sulfur","[""t""]","","","","",""
"2503.00.00.90","1","Other","[""t""]","","","","",""
"2504","0","Natural graphite:","","","","","",""
"2504.10","1","In powder or in flakes:","","","","","",""
"2504.10.10.00","2","Crystalline flake (not including flake dust)","[""kg""]","Free","","3.6¢/kg","",""
"2504.10.50.00","2","Other","[""kg""]","Free","","10%","",""
"2504.90.00.00","1","Other","[""kg""]","Free","","10%","",""
"2505","0","Natural sands of all kinds, whether or not colored, other than metalbearing sands of chapter 26:","","","","","",""
"2505.10","1","Silica sands and quartz sands:","","","","","",""
"2505.10.10.00","2","Sand containing by weight 95 percent or more of silica and not more than 0.6 percent of oxide of iron","[""t""]","Free","","$1.97/t","",""
"2505.10.50.00","2","Other","[""t""]","Free","","Free","",""
"2505.90.00.00","1","Other","[""t""]","Free","","Free","",""
"2506","0","Quartz (other than natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape:","","","","","",""
"2506.10.00","1","Quartz","","Free","","Free","",""
"2506.10.00.10","2","Sands (other than natural) containing by weight 95 percent or more of silica and not more than 0.6 percent of oxide of iron","[""t""]","","","","",""
"2506.10.00.50","2","Other","[""t""]","","","","",""
"2506.20.00","1","Quartzite","","Free","","Free","",""
"2506.20.00.10","2","Crude or roughly trimmed","[""t""]","","","","",""
"2506.20.00.80","2","Other","[""t""]","","","","",""
"2507.00.00.00","0","Kaolin and other kaolinic clays, whether or not calcined","[""t""]","Free","","$2.46/t","",""
"2508","0","Other clays (not including expanded clays of heading 6806), andalusite, kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earths:","","","","","",""
"2508.10.00.00","1","Bentonite","[""t""]","Free","","$3.20/t","",""
"2508.30.00.00","1","Fire-clay","[""t""]","Free","","$1.97/t","",""
"2508.40.01","1","Other clays","","Free","","$1.97/t","",""
"2508.40.01.10","2","Common blue clay and other ball clays","[""t""]","","","","",""
"2508.40.01.20","2","Decolorizing earths and fuller's earth","[""t""]","","","","",""
"2508.40.01.50","2","Other","[""t""]","","","","",""
"2508.50.00.00","1","Andalusite, kyanite and sillimanite","[""t""]","Free","","Free","",""
"2508.60.00.00","1","Mullite","[""t""]","Free","","30%","",""
"2508.70.00.00","1","Chamotte or dinas earth","[""t""]","Free","","Free","",""
"2509.00","0","Chalk:","","","","","",""
"2509.00.10.00","1","Crude","[""t""]","Free","","Free","",""
"2509.00.20.00","1","Other","[""t""]","Free","","13%","",""
"2510","0","Natural calcium phosphates, natural aluminum calcium phosphates and phosphatic chalk:","","","","","",""
"2510.10.00.00","1","Unground","[""t""]","Free","","Free","",""
"2510.20.00.00","1","Ground","[""t""]","Free","","Free","",""
"2511","0","Natural barium sulfate (barytes); natural barium carbonate (witherite), whether or not calcined, other than barium oxide of heading 2816:","","","","","",""
"2511.10","1","Natural barium sulfate (barytes):","","","","","",""
"2511.10.10.00","2","Ground","[""t""]","Free","","$7.38/t","",""
"2511.10.50.00","2","Other","[""t""]","$1.25/t","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$3.94/t","",""
"2511.20.00.00","1","Natural barium carbonate (witherite)","[""kg""]","Free","","30%","",""
"2512.00.00.00","0","Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less","[""t""]","Free","","Free","",""
"2513","0","Pumice; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated:","","","","","",""
"2513.10.00","1","Pumice stone","","Free","","Free","",""
"2513.10.00.10","2","Crude or in irregular pieces, including crushed pumice","[""kg""]","","","","",""
"2513.10.00.80","2","Other","[""kg""]","","","","",""
"2513.20","1","Emery, natural corundum, natural garnet and other natural abrasives:","","","","","",""
"2513.20.10.00","2","Crude or in irregular pieces","[""kg""]","Free","","Free","",""
"2513.20.90.00","2","Other","[""kg""]","Free","","2.2¢/kg","",""
"2514.00.00.00","0","Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape","[""t""]","Free","","25%","",""
"2515","0","Marble, travertine and other calcareous monumental or building stone of an apparent specific gravity of 2.5 or more, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape:","","","","","",""
"","1","Marble and travertine:","","","","","",""
"2515.11.00.00","2","Crude or roughly trimmed","[""m<sup>3<\/sup>"",""t""]","Free","","$22.95/m<sup>3</sup>","",""
"2515.12","2","Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape:","","","","","",""
"2515.12.10.00","3","Marble","[""t""]","Free","","13%","",""
