HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7407.29.40.00","3","Bars and rods of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48%","",""
"7407.29.50.00","3","Other bars and rods","[""kg""]","1.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9%","",""
"7408","0","Copper wire:","","","","","",""
"","1","Of refined copper:","","","","","",""
"7408.11","2","Of which the maximum cross-sectional dimension exceeds 6 mm:","","","","","",""
"7408.11.30.00","3","With a maximum cross-sectional dimension over 9.5 mm","[""kg""]","1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7%","",""
"7408.11.60.00","3","With a maximum cross-sectional dimension over 6 mm but not over 9.5 mm","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","28%","",""
"7408.19.00","2","Other","","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","28%","",""
"7408.19.00.30","3","With a maximum cross-sectional dimension of <il>3 mm</il> or less","[""kg""]","","","","",""
"7408.19.00.60","3","Other","[""kg""]","","","","",""
"","1","Of copper alloys:","","","","","",""
"7408.21.00.00","2","Of copper-zinc base alloys (brass)","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","28%","",""
"7408.22","2","Of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver):","","","","","",""
"7408.22.10.00","3","Coated or plated with metal","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","28%","",""
"7408.22.50.00","3","Not coated or plated with metal","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","28%","",""
"7408.29","2","Other:","","","","","",""
"7408.29.10.00","3","Coated or plated with metal","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","28%","",""
"7408.29.50.00","3","Not coated or plated with metal","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","28%","",""
"7409","0","Copper plates, sheets and strip, of a thickness exceeding <il>0.15 mm</il>:","","","","","",""
"","1","Of refined copper:","","","","","",""
"7409.11","2","In coils:","","","","","",""
"7409.11.10.00","3","Of a thickness of 5 mm or more","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","38%","",""
"7409.11.50","3","Of a thickness of less than 5 mm","","1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7.5%","",""
"7409.11.50.10","4","Of a width of 500 mm or more","[""kg""]","","","","",""
"7409.11.50.50","4","Of a width of less than 500 mm","[""kg""]","","","","",""
"7409.19","2","Other:","","","","","",""
"7409.19.10.00","3","Of a thickness of 5 mm or more","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48%","",""
"","3","Of a thickness of less than 5 mm:","","","","","",""
"7409.19.50.00","4","Of a width of 500 mm or more","[""kg""]","1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7.5%","",""
"7409.19.90.00","4","Of a width of less than 500 mm","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48%","",""
"","1","Of copper-zinc base alloys (brass):","","","","","",""
"7409.21.00","2","In coils","","1.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9%","",""
"7409.21.00.10","3","Of a thickness of 5 mm or more","[""kg""]","","","","",""
"","3","Of a thickness of less than 5 mm:","","","","","",""
"7409.21.00.50","4","Of a width of 500 mm or more","[""kg""]","","","","",""
"","4","Of a width of less than 500 mm:","","","","","",""
"7409.21.00.75","5","Of a thickness less than 1.6 mm","[""kg""]","","","","",""
"7409.21.00.90","5","Other","[""kg""]","","","","",""
"7409.29.00","2","Other","","1.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9%","",""
"7409.29.00.10","3","Of a thickness of 5 mm or more","[""kg""]","","","","",""
"","3","Of a thickness of less than 5 mm:","","","","","",""
"7409.29.00.50","4","Of a width of 500 mm or more","[""kg""]","","","","",""
"","4","Of a width of less than 500 mm:","","","","","",""
"7409.29.00.75","5","Of a thickness less than 1.6 mm","[""kg""]","","","","",""
"7409.29.00.90","5","Other","[""kg""]","","","","",""
"","1","Of copper-tin base alloys (bronze):","","","","","",""
"7409.31","2","In coils:","","","","","",""
"7409.31.10.00","3","Of a thickness of 5 mm or more","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","49%","",""
"","3","Of a thickness of less than 5 mm:","","","","","",""
"7409.31.50.00","4","Of a width of 500 mm or more","[""kg""]","1.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9%","",""
"7409.31.90.00","4","Of a width of less than 500 mm","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","49%","",""
"7409.39","2","Other:","","","","","",""
"7409.39.10","3","Of a thickness of 5 mm or more","","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","49%","",""
"7409.39.10.30","4","Of phosphor bronze","[""kg"",""Cu kg""]","","","","",""
"7409.39.10.60","4","Other","[""kg"",""Cu kg""]","","","","",""
"","3","Of a thickness of less than 5 mm:","","","","","",""
"7409.39.50.00","4","Of a width of 500 mm or more","[""kg""]","1.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9%","",""
"7409.39.90","4","Of a width of less than 500 mm","","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","49%","",""
"7409.39.90.30","5","Of phosphor bronze","[""kg"",""Cu kg""]","","","","",""
"7409.39.90.60","5","Other","[""kg"",""Cu kg""]","","","","",""
"7409.40.00.00","1","Of copper-nickel base alloys (cupro-nickel) or copper- nickel-zinc base alloys (nickel silver)","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48%","",""
"7409.90","1","Of other copper alloys:","","","","","",""
"7409.90.10","2","Of a thickness of 5 mm or more","","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","49%","",""
"7409.90.10.30","3","Of beryllium copper","[""kg"",""Cu kg""]","","","","",""
"7409.90.10.60","3","Other","[""kg"",""Cu kg""]","","","","",""
"","2","Of a thickness of less than 5 mm:","","","","","",""
