HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1201","0","Soybeans, whether or not broken:","","","","","",""
"1201.10.00.00","1","Seed","[""kg""]","Free","","4.4¢/kg","",""
"1201.90.00","1","Other","","Free","","4.4¢/kg","",""
"1201.90.00.05","2","Seeds of a kind used as oil stock","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"1201.90.00.10","3","Certified organic","[""kg""]","","","","",""
"1201.90.00.90","3","Other","[""kg""]","","","","",""
"1202","0","Peanuts (ground-nuts), not roasted or otherwise cooked, whether or not shelled or broken:","","","","","",""
"1202.30","1","Seed:","","","","","",""
"1202.30.05.00","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","6.6¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15.4¢/kg","",""
"1202.30.40.00","2","Described in additional U.S. note 2 to this chapter and entered pursuant to its provisions","[""kg""]","6.6¢/kg","Free (A*,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg","",""
"1202.30.80.00","2","Other","[""kg""]","131.8%","Free (AU,BH,CL,JO,KR,MA,OM,P,P+,PE,S,SG) 8.7% (CO) 13.1% (PA) See 9908.12.01 (IL)","155%","",""
"","1","Other:","","","","","",""
"1202.41","2","In shell:","","","","","",""
"1202.41.05","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","","9.35¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9.35¢/kg","",""
"1202.41.05.20","4","For use as oil stock","[""kg""]","","","","",""
"1202.41.05.40","4","Other","[""kg""]","","","","",""
"1202.41.40","3","Described in additional U.S. note 2 to this chapter and entered pursuant to its provisions","","9.35¢/kg","Free (A*,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9.35¢/kg","",""
"1202.41.40.20","4","For use as oil stock","[""kg""]","","","","",""
"1202.41.40.40","4","Other","[""kg""]","","","","",""
"1202.41.80","3","Other","","163.8%","Free (AU,BH,CL,JO,KR,MA,OM,P,P+,PE,S,SG) 10.9% (CO) 16.3% (PA) See 9908.12.01 (IL)","192.7%","",""
"1202.41.80.20","4","For use as oil stock","[""kg""]","","","","",""
"1202.41.80.40","4","Other","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"1202.42","2","Shelled, whether or not broken:","","","","","",""
"","3","Dry-blanched:","","","","","",""
