HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1509.30.90.90","3","Other","[""kg""]","","","","",""
"1509.40","1","Other virgin olive oils:","","","","","",""
"1509.40.20","2","Weighing with the immediate container under 18 kg","","5¢/kg on contents and container","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","17.6¢/kg on contents and container","",""
"1509.40.20.30","3","Certified organic","[""kg""]","","","","",""
"1509.40.20.90","3","Other","[""kg""]","","","","",""
"1509.40.90","2","Other","","3.4¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","14.3¢/kg","",""
"1509.40.90.30","3","Certified organic","[""kg""]","","","","",""
"1509.40.90.90","3","Other","[""kg""]","","","","",""
"1509.90","1","Other:","","","","","",""
"1509.90.20.00","2","Weighing with the immediate container under 18 kg","[""kg""]","5¢/kg on contents and container","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","17.6¢/kg on contents and container","",""
"1509.90.40.00","2","Other","[""kg""]","3.4¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","14.3¢/kg","",""
"1510","0","Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils and fractions with oils or fractions of heading 1509:","","","","","",""
"1510.10","1","Crude olive pomace oil:","","","","","",""
"1510.10.10.00","2","Weighing with the immediate container under 18 kg","[""kg""]","5¢/kg on contents and container","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","17.6¢/kg on contents and container","",""
"1510.10.90.00","2","Other","[""kg""]","3.4¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","14.3¢/kg","",""
"1510.90","1","Other:","","","","","",""
"1510.90.10.00","2","Rendered unfit for use as food","[""kg""]","Free","","Free","",""
"","2","Other:","","","","","",""
"1510.90.20.00","3","Weighing with the immediate container under 18 kg","[""kg""]","5¢/kg on contents and container","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","17.6¢/kg on contents and container","",""
"1510.90.90.00","3","Other","[""kg""]","3.4¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","14.3¢/kg","",""
"1511","0","Palm oil and its fractions, whether or not refined, but not chemically modified:","","","","","",""
"1511.10.00.00","1","Crude oil","[""kg""]","Free","","Free","",""
"1511.90.00.00","1","Other","[""kg""]","Free","","Free","",""
"1512","0","Sunflower-seed, safflower or cottonseed oil, and fractions thereof, whether or not refined, but not chemically modified:","","","","","",""
"","1","Sunflower-seed or safflower oil and fractions thereof:","","","","","",""
"1512.11.00","2","Crude oil","","1.7¢/kg + 3.4%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9.9¢/kg + 20%","",""
"","3","Sunflower-seed oil:","","","","","",""
"1512.11.00.25","4","Certified organic","[""kg""]","","","","",""
"1512.11.00.35","4","Other","[""kg""]","","","","",""
"1512.11.00.40","3","Safflower oil","[""kg""]","","","","",""
