HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1006.30.90","2","Other","","1.4¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","5.5¢/kg","",""
"1006.30.90.15","3","Certified Organic","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"","4","Long grain:","","","","","",""
"1006.30.90.57","5","Jasmine","[""kg""]","","","","",""
"1006.30.90.59","5","Basmati","[""kg""]","","","","",""
"1006.30.90.61","5","Other","[""kg""]","","","","",""
"1006.30.90.65","4","Medium grain","[""kg""]","","","","",""
"1006.30.90.75","4","Short grain","[""kg""]","","","","",""
"1006.30.90.85","4","Mixtures of any of the above","[""kg""]","","","","",""
"1006.40.00.00","1","Broken rice","[""kg""]","0.44¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","1.4¢/kg","",""
"1007","0","Grain sorghum:","","","","","",""
"1007.10.00.00","1","Seed","[""kg""]","0.22¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.4¢/kg","",""
"1007.90.00.00","1","Other","[""kg""]","0.22¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.4¢/kg","",""
"1008","0","Buckwheat, millet and canary seeds; other cereals (including wild rice):","","","","","",""
"1008.10.00.00","1","Buckwheat","[""kg""]","Free","","0.55¢/kg","",""
"","1","Millet:","","","","","",""
"1008.21.00.00","2","Seed","[""kg""]","0.32¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","2.2¢/kg","",""
"1008.29.00.00","2","Other","[""kg""]","0.32¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","2.2¢/kg","",""
"1008.30.00.00","1","Canary seeds","[""kg""]","0.12¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","2.2¢/kg","",""
"1008.40.00.00","1","Fonio (<i>Digitaria spp.</i>)","[""kg""]","1.1%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","10%","",""
"1008.50.00","1","Quinoa (<i>Chenopodium quinoa</i>)","","1.1%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","10%","",""
"1008.50.00.10","2","Certified organic","[""kg""]","","","","",""
"1008.50.00.90","2","Other","[""kg""]","","","","",""
"1008.60.00.00","1","Triticale","[""kg""]","1.1%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","10%","",""
"1008.90.01","1","Other cereals (including wild rice)","","1.1%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","10%","",""
"1008.90.01.20","2","Wild rice","[""kg""]","","","","",""
"1008.90.01.40","2","Other","[""kg""]","","","","",""
