HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2710.12.18.05","4","Reformulated blendstock for oxygenate blending (RBOB)","[""bbl""]","","","","",""
"2710.12.18.90","4","Other","[""bbl""]","","","","",""
"2710.12.25.00","3","Naphthas (except motor fuel or motor fuel blending stock)","[""bbl""]","10.5¢/bbl","Free (A+,AU,BH,CL,CO,D, IL,JO, KR,MA,OM,P, PA,PE,R,S,SG)","21¢/bbl","",""
"","3","Other:","","","","","",""
"2710.12.45","4","Mixtures of hydrocarbons not elsewhere specified or included, which contain by weight not over 50 percent of any single hydrocarbon compound","","10.5¢/bbl","Free (A+,AU,BH,CL,CO,D, IL,JO, KR,MA,OM,P, PA,PE,R,S,SG)","21¢/bbl","",""
"2710.12.45.45","5","Insulating or transformer oils","[""bbl""]","","","","",""
"2710.12.45.60","5","Renewable fuels blends containing not less than 51 percent by volume of biofuel, as described in statistical note 1 to this chapter","[""bbl""]","","","","",""
"2710.12.45.95","5","Other","[""bbl""]","","","","",""
"2710.12.90.00","4","Other","[""kg"",""liters""]","7%","Free (A+,AU,BH,CL,CO,D,E, IL,JO, KR,MA,OM,P, PA,PE,S,SG)","25%","",""
"2710.19","2","Other:","","","","","",""
"","3","Distillate and residual fuel oils (including blended fuel oils):","","","","","",""
"2710.19.06","4","Testing under 25 degrees A.P.I.","","5.25¢/bbl","Free (A+,AU,BH,CL,CO,D, IL,JO, KR,MA,OM,P, PA,PE,R,S,SG)","21¢/bbl","",""
"","5","Having a Saybolt Universal viscosity at 37.8˚C of 45 seconds or more but not more than 125 seconds (No. 4-type fuel oils):","","","","","",""
"2710.19.06.05","6","Containing not more than 500 ppm of sulfur","[""bbl""]","","","","",""
"2710.19.06.15","6","Containing more than 500 ppm of sulfur","[""bbl""]","","","","",""
"","5","Having a Saybolt Universal viscosity at 37.8˚C of more than 125 seconds (heavy fuel oils):","","","","","",""
"2710.19.06.25","6","Fuel oil No. 5","[""bbl""]","","","","",""
"2710.19.06.30","6","Fuel oil No. 6","[""bbl""]","","","","",""
"2710.19.06.35","6","Other","[""bbl""]","","","","",""
"2710.19.06.50","5","Other","[""bbl""]","","","","",""
