HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"9503.00.00","0","Tricycles, scooters, pedal cars and similar wheeled toys; dollsʼ carriages; dolls, other toys; reduced-scale (“scaleˮ) models and similar recreational models, working or not; puzzles of all kinds; parts and accessories thereof","","Free","","70%","",""
"","1","“Childrenʼs productsˮ as defined in 15 U.S.C. § 2052:","","","","","",""
"","2","Inflatable toy balls, balloons and punchballs, of rubber:","","","","","",""
"","3","Labeled or determined by importer as intended for use by persons:","","","","","",""
"9503.00.00.11","4","Under 3 years of age","[""No.""]","","","","",""
"9503.00.00.13","4","3 to 12 years of age","[""No.""]","","","","",""
"","2","Other:","","","","","",""
"","3","Labeled or determined by importer as intended for use by persons:","","","","","",""
"9503.00.00.71","4","Under 3 years of age","[""No.""]","","","","",""
"9503.00.00.73","4","3 to 12 years of age","[""No.""]","","","","",""
"9503.00.00.90","1","Other","[""No.""]","","","","",""
"9504","0","Video game consoles and machines, table or parlor games, including pinball machines, billiards, special tables for casino games and automatic bowling equipment, amusement machines operated by coins, banknotes, bank cards, tokens or by any other means of payment:","","","","","",""
"9504.20","1","Articles and accessories for billiards of all kinds:","","","","","",""
"9504.20.20.00","2","Balls","[""No.""]","Free","","50%","",""
"9504.20.40.00","2","Chalk","[""No.""]","Free","","25%","",""
"9504.20.60.00","2","Tables","[""No.""]","Free","","33 1/3%","",""
"9504.20.80.00","2","Other, including parts and accessories","[""kg""]","Free","","33 1/3%","",""
"9504.30.00","1","Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment; parts and accessories thereof","","Free","","35%","",""
"9504.30.00.10","2","Video","[""No.""]","","","","",""
"","2","Other:","","","","","",""
"","3","Games:","","","","","",""
"9504.30.00.20","4","Pinball machines and bell-type machines and consoles","[""No.""]","","","","",""
"9504.30.00.40","4","Other","[""No.""]","","","","",""
"9504.30.00.60","3","Parts and accessories","[""No.""]","","","","",""
"9504.40.00.00","1","Playing cards","[""pack""]","Free","","10¢/pack + 20%","",""
"9504.50.00.00","1","Video game consoles and machines, other than those of subheading 9504.30, and parts and accessories thereof","[""No.""]","Free","","35%","",""
"9504.90","1","Other:","","","","","",""
"9504.90.40.00","2","Game machines, other than those operated by coins, banknotes (paper currency), discs or similar articles; parts and accessories thereof","[""No.""]","Free","","35%","",""
"","2","Other:","","","","","",""
"9504.90.60.00","3","Chess, checkers, parchisi, backgammon, darts and other games played on boards of a special design, all the foregoing games and parts there of (including their boards); mah-jong and dominoes; any of the foregoing games in combination with each other, or with other games, packaged together as a unit in immediate containers of a type used in retail sales; poker chips and dice","[""No.""]","Free","","40%","",""
"9504.90.90","3","Other","","Free","","40%","",""
"9504.90.90.40","4","Bowling balls","[""No.""]","","","","",""
"9504.90.90.60","4","Bowling equipment and parts and accessories thereof","[""No.""]","","","","",""
"9504.90.90.80","4","Other","[""No.""]","","","","",""
"9505","0","Festive, carnival or other entertainment articles, including magic tricks and practical joke articles; parts and accessories thereof:","","","","","",""
"9505.10","1","Articles for Christmas festivities and parts and accessories thereof:","","","","","",""
"","2","Christmas ornaments:","","","","","",""
"9505.10.10.00","3","Of glass","[""No.""]","Free","","60%","",""
"","3","Other:","","","","","",""
"9505.10.15.00","4","Of wood","[""No.""]","Free","","20%","",""
"9505.10.25.00","4","Other","[""No.""]","Free","","20%","",""
"9505.10.30.00","2","Nativity scenes and figures thereof","[""No.""]","Free","","80%","",""
"","2","Other:","","","","","",""
"9505.10.40","3","Of plastics","","Free","","60%","",""
"9505.10.40.10","4","Artificial Christmas trees","[""No.""]","","","","",""
"9505.10.40.20","4","Other","[""No.""]","","","","",""
"9505.10.50","3","Other","","Free","","90%","",""
"9505.10.50.10","4","Artificial Christmas trees","[""No.""]","","","","",""
"9505.10.50.20","4","Other","[""No.""]","","","","",""
"9505.90","1","Other:","","","","","",""
"9505.90.20.00","2","Magic tricks and practical joke articles; parts and accessories thereof","[""No.""]","Free","","70%","",""
"9505.90.40.00","2","Confetti, paper spirals or streamers, party favors and noisemakers; parts and accessories thereof","[""No.""]","Free","","45%","",""
"9505.90.60.00","2","Other","[""No.""]","Free","","25%","",""
"9506","0","Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this chapter; swimming pools and wading pools; parts and accessories thereof:","","","","","",""
