HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2301","0","Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption; greaves (cracklings):","","","","","",""
"2301.10.00.00","1","Flours, meals and pellets, of meat or meat offal; greaves (cracklings)","[""t""]","Free","","Free","",""
"2301.20.00","1","Flours, meals and pellets, of fish or of crustaceans, molluscs or other aquatic invertebrates","","Free","","Free","",""
"2301.20.00.10","2","Herring meal; pilchard meal","[""t""]","","","","",""
"2301.20.00.90","2","Other","[""t""]","","","","",""
"2302","0","Bran, sharps (middlings) and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants:","","","","","",""
"2302.10.00.00","1","Of corn (maize)","[""t""]","Free","","10%","",""
"2302.30.00","1","Of wheat","","Free","","10%","",""
"2302.30.00.10","2","Bran, shorts and middlings","[""t""]","","","","",""
"2302.30.00.90","2","Other","[""t""]","","","","",""
"2302.40.01","1","Of other cereals","","Free","","10%","",""
"2302.40.01.05","2","Of rice","[""t""]","","","","",""
"2302.40.01.10","2","Of other single cereal grains, chopped, crushed or ground","[""t""]","","","","",""
"","2","Other:","","","","","",""
"2302.40.01.20","3","Pelletized screenings (clearings)","[""t""]","","","","",""
"2302.40.01.90","3","Other","[""t""]","","","","",""
"2302.50.00.00","1","Of leguminous plants","[""t""]","1.4%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","20%","",""
"2303","0","Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets:","","","","","",""
"2303.10.00","1","Residues of starch manufacture and similar residues","","1.4%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","20%","",""
"2303.10.00.10","2","Corn gluten feed","[""t""]","","","","",""
"2303.10.00.20","2","Corn gluten meal","[""t""]","","","","",""
"2303.10.00.40","2","Other","[""t""]","","","","",""
"2303.20.00","1","Beet-pulp, bagasse and other waste of sugar manufacture","","Free","","$4.91/t","",""
"2303.20.00.20","2","Dried beet-pulp","[""t""]","","","","",""
"2303.20.00.40","2","Other","[""t""]","","","","",""
"2303.30.00.00","1","Brewing or distilling dregs and waste","[""t""]","Free","","$4.91/t","",""
