HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5603.94","2","Weighing more than 150 g/m<sup>2</sup>:","","","","","",""
"5603.94.10","3","Floor covering underlays","","Free","","40%","",""
"5603.94.10.10","4","Of wool or fine animal hair (469)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5603.94.10.90","4","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5603.94.30.00","4","Laminated fabrics (223)","[""kg""]","Free","","83.5%","",""
"5603.94.90","4","Other","","Free","","74%","",""
"5603.94.90.10","5","Impregnated, coated or covered with material other than or in addition to rubber, plastics, wood pulp or glass fibers; ""imitation suede"" (223)","[""kg""]","","","","",""
"","5","Other nonwovens, whether or not impregnated, coated or covered:","","","","","",""
"5603.94.90.30","6","Thermal bonded, of staple fibers (223)","[""kg""]","","","","",""
"5603.94.90.50","6","Obtained by mechanical entanglement, of staple fibers (223)","[""kg""]","","","","",""
"","6","Other:","","","","","",""
"5603.94.90.70","7","Of filaments (223)","[""kg""]","","","","",""
"5603.94.90.90","7","Of staple fibers (223)","[""kg""]","","","","",""
"5604","0","Rubber thread and cord, textile covered; textile yarn, and strip and the like of heading 5404 or 5405, impregnated, coated, covered or sheathed with rubber or plastics:","","","","","",""
"5604.10.00.00","1","Rubber thread and cord, textile covered (201)","[""kg""]","6.3%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","40%","",""
"","1","Other:","","","","","",""
"5604.90.20.00","2","High tenacity yarn of polyesters, of nylon or other polyamides or of viscose rayon, impregnated or coated (201)","[""kg""]","8.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5604.90.90.00","2","Other","[""kg""]","5%","Free (AU,BH, CL,CO,E*,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5605.00","0","Metalized yarn, whether or not gimped, being textile yarn, or strip or the like of heading 5404 or 5405, combined with metal in the form of thread, strip or powder or covered with metal:","","","","","",""
"5605.00.10.00","1","Metal coated or metal laminated man-made filament or strip or the like, ungimped, and untwisted or with twist of less than 5 turns per meter","[""kg""]","7.5%","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","81%","",""
"5605.00.90.00","1","Other (201)","[""kg""]","13.2%","Free (AU,BH,CL,CO,E*,IL,JO,KR, MA,OM,P,PA,PE,S,SG)","81%","",""
"5606.00.00","0","Gimped yarn, and strip and the like of heading 5404 or 5405, gimped (other than those of heading 5605 and gimped horsehair yarn); chenille yarn (including flock chenille yarn); loop wale-yarn","","8%","Free (AU,BH,CL,CO,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"5606.00.00.10","1","Containing elastomeric filaments (201)","[""kg""]","","","","",""
"5606.00.00.90","1","Other (201)","[""kg""]","","","","",""
"5607","0","Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics:","","","","","",""
"","1","Of sisal or other textile fibers of the genus <u>Agave</u>:","","","","","",""
"5607.21.00.00","2","Binder or baler twine","[""kg""]","Free","","Free","",""
"5607.29.00.00","2","Other","[""kg""]","3.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"","1","Of polyethylene or polypropylene:","","","","","",""
"5607.41","2","Binder or baler twine:","","","","","",""
"5607.41.10.00","3","Of wide nonfibrillated strip","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"5607.41.30.00","3","Other (201)","[""kg""]","4%","Free (AU,BH,CL, CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","76.5%","",""
"5607.49","2","Other:","","","","","",""
"5607.49.10.00","3","Of wide nonfibrillated strip","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"","3","Other, not braided or plaited:","","","","","",""
