HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"9201","0","Pianos, including player pianos; harpsichords and other keyboard stringed instruments:","","","","","",""
"9201.10.00","1","Upright pianos","","4.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9201.10.00.05","2","Used","[""No.""]","","","","",""
"","2","Other:","","","","","",""
"9201.10.00.11","3","Containing a case measuring less than 111.76 cm in height","[""No.""]","","","","",""
"9201.10.00.21","3","Containing a case measuring 111.76 cm or more but less than 121.92 cm in height","[""No.""]","","","","",""
"9201.10.00.31","3","Containing a case measuring 121.92 cm or more but less than 129.54 cm in height","[""No.""]","","","","",""
"9201.10.00.41","3","Containing a case measuring 129.54 cm or more in height","[""No.""]","","","","",""
"9201.20.00","1","Grand pianos","","4.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9201.20.00.05","2","Used","[""No.""]","","","","",""
"","2","Other:","","","","","",""
"9201.20.00.11","3","Containing a case measuring less than 152.40 cm in length","[""No.""]","","","","",""
"9201.20.00.21","3","Containing a case measuring 152.40 cm or more but less than 167.64 cm in length","[""No.""]","","","","",""
"9201.20.00.31","3","Containing a case measuring 167.64 cm or more but less than 180.34 cm in length","[""No.""]","","","","",""
"9201.20.00.41","3","Containing a case measuring 180.34 cm or more but less than 195.58 cm in length","[""No.""]","","","","",""
"9201.20.00.51","3","Containing a case measuring 195.58 cm or more in length","[""No.""]","","","","",""
"9201.90.00.00","1","Other","[""No.""]","3.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9202","0","Other string musical instruments (for example, guitars, violins, harps):","","","","","",""
"9202.10.00.00","1","Played with a bow","[""No.""]","3.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","37.5%","",""
"9202.90","1","Other:","","","","","",""
"","2","Guitars:","","","","","",""
"9202.90.20.00","3","Valued not over $100 each, excluding the value of the case","[""No.""]","4.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9202.90.40.00","3","Other","[""No.""]","8.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9202.90.60.00","2","Other","[""No.""]","4.6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9205","0","Wind musical instruments (for example, keyboard pipe organs, accordions, clarinets, trumpets, bagpipes), other than fairground organs and mechanical street organs:","","","","","",""
"9205.10.00","1","Brass-wind instruments","","2.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9205.10.00.40","2","Valued not over $10 each","[""No.""]","","","","",""
"9205.10.00.80","2","Valued over $10 each","[""No.""]","","","","",""
"9205.90","1","Other:","","","","","",""
"","2","Keyboard pipe organs; harmoniums and similar keyboard instruments with free metal reeds:","","","","","",""
"9205.90.12.00","3","Keyboard pipe organs","[""No.""]","Free","","35%","",""
"9205.90.14.00","3","Other","[""No.""]","2.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"","2","Accordions and similar instruments; mouth organs:","","","","","",""
"","3","Accordions and similar instruments:","","","","","",""
"9205.90.15.00","4","Piano accordions","[""No.""]","Free","","40%","",""
"9205.90.18.00","4","Other","[""No.""]","2.6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9205.90.19.00","3","Mouth organs","[""doz.""]","Free","","40%","",""
"","2","Woodwind instruments:","","","","","",""
"9205.90.20.00","3","Bagpipes","[""No.""]","Free","","40%","",""
"9205.90.40","3","Other","","4.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9205.90.40.20","4","Clarinets","[""No.""]","","","","",""
"9205.90.40.40","4","Saxophones","[""No.""]","","","","",""
"9205.90.40.60","4","Flutes and piccolos (except bamboo)","[""No.""]","","","","",""
"9205.90.40.80","4","Other","[""No.""]","","","","",""
"9205.90.60.00","2","Other","[""No.""]","Free","","40%","",""
"9206.00","0","Percussion musical instruments (for example, drums, xylophones, cymbals, castanets, maracas):","","","","","",""
"9206.00.20.00","1","Drums","[""No.""]","4.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9206.00.40.00","1","Cymbals","[""No.""]","Free","","40%","",""
"9206.00.60.00","1","Sets of tuned bells known as chimes, peals or carillons","[""No.""]","Free","","50%","",""
"9206.00.80.00","1","Other","[""No.""]","5.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9207","0","Musical instruments, the sound of which is produced, or must be amplified, electrically (for example, organs, guitars, accordions):","","","","","",""
"9207.10.00","1","Keyboard instruments, other than accordions","","5.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 2.7% (JP)","40%","",""
"","2","Music synthesizers:","","","","","",""
"9207.10.00.05","3","Valued under $100 each","[""No.""]","","","","",""
"9207.10.00.10","3","Valued $100 or over each","[""No.""]","","","","",""
"","2","Other:","","","","","",""
"","3","With more than one keyboard:","","","","","",""
"9207.10.00.45","4","Valued under $200 each","[""No.""]","","","","",""
"9207.10.00.55","4","Valued $200 or over each","[""No.""]","","","","",""
"","3","With one keyboard:","","","","","",""
"9207.10.00.60","4","Hand-held","[""No.""]","","","","",""
"","4","Other:","","","","","",""
"9207.10.00.65","5","Valued under $100 each","[""No.""]","","","","",""
"9207.10.00.75","5","Valued $100 or over each","[""No.""]","","","","",""
"9207.90.00","1","Other","","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9207.90.00.40","2","Fretted stringed instruments","[""No.""]","","","","",""
"9207.90.00.80","2","Other","[""No.""]","","","","",""
"9208","0","Music boxes, fairground organs, mechanical street organs, mechanical singing birds, musical saws and other musical instruments not falling within any other heading of this chapter; decoy calls of all kinds; whistles, call horns and other mouth-blown sound signaling instruments:","","","","","",""
"9208.10.00.00","1","Music boxes","[""No.""]","3.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9208.90.00","1","Other","","5.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9208.90.00.40","2","Musical instruments","[""No.""]","","","","",""
"9208.90.00.80","2","Other","[""No.""]","","","","",""
"9209","0","Parts (for example, mechanisms for music boxes) and accessories (for example, cards, discs and rolls for mechanical instruments) of musical instruments; metronomes, tuning forks and pitch pipes of all kinds:","","","","","",""
"9209.30.00.00","1","Musical instrument strings","[""No.""]","Free","","40%","",""
"","1","Other:","","","","","",""
"9209.91","2","Parts and accessories for pianos:","","","","","",""
"9209.91.40.00","3","Tuning pins","[""thousands""]","Free","","$1/1,000 pins + 35%","",""
"9209.91.80.00","3","Other","[""No.""]","4.2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","40%","",""
"9209.92","2","Parts and accessories for the musical instruments of heading 9202:","","","","","",""
"9209.92.20.00","3","Mutes, collapsible musical instrument stands and music holders for attachment to musical instruments","[""No.""]","3.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9209.92.40.00","3","Tuning pins","[""thousands""]","10¢/1,000 pins + 3.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$1/1,000 pins + 35%","",""
"9209.92.60.00","3","Bows, parts of bows, bow hair, chin rests and other parts and accessories for string instruments played with a bow","[""No.""]","Free","","40%","",""
