HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4401","0","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms:","","","","","",""
"","1","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms:","","","","","",""
"4401.11.00.00","2","Coniferous","[""kg""]","Free","","20%","",""
"4401.12.00.00","2","Nonconiferous","[""kg""]","Free","","20%<il></il>","",""
"","1","Wood in chips or particles:","","","","","",""
"4401.21.00.00","2","Coniferous","[""t dwb""]","Free","","Free","",""
"4401.22.00.00","2","Nonconiferous","[""t dwb""]","Free","","Free","",""
"","1","Sawdust and wood waste and scrap, agglomerated in logs, briquettes, pellets or similar forms:","","","","","",""
"4401.31.00.00","2","Wood pellets","[""kg""]","Free","","Free","",""
"4401.32.00.00","2","Wood briquettes","[""kg""]","Free","","Free","",""
"4401.39","2","Other:","","","","","",""
"4401.39.20.00","3","Artificial fire logs composed of wax and sawdust, with or without added materials","[""kg""]","Free","","20%","",""
"4401.39.42","3","Other","","Free","","Free","",""
"4401.39.42.10","4","Sawdust","[""kg""]","","","","",""
"4401.39.42.20","4","Shavings","[""kg""]","","","","",""
"4401.39.42.90","4","Other","[""kg""]","","","","",""
"","1","Sawdust and wood waste and scrap, not agglomerated:","","","","","",""
"4401.41.00.00","2","Sawdust","[""kg""]","Free","","Free","",""
"4401.49.00","2","Other","","Free","","Free","",""
"4401.49.00.20","3","Shavings","[""kg""]","","","","",""
"4401.49.00.90","3","Other","[""kg""]","","","","",""
"4402","0","Wood charcoal (including shell or nut charcoal), whether or not agglomerated:","","","","","",""
"4402.10.00.00","1","Of bamboo","[""t""]","Free","","Free","",""
"4402.20.00.00","1","Of shell or nut","[""t""]","Free","","Free","",""
"4402.90.01.00","1","Other","[""t""]","Free","","Free","",""
"4403","0","Wood in the rough, whether or not stripped of bark or sap- wood, or roughly squared:","","","","","",""
"","1","Treated with paint, stain, creosote or other preservatives:","","","","","",""
"4403.11.00","2","Coniferous","","Free","","Free","",""
"","3","Poles, piles and posts:","","","","","",""
"4403.11.00.20","4","Telephone, telegraph and electrical power poles","[""m""]","","","","",""
"4403.11.00.40","4","Fence posts","[""m""]","","","","",""
"4403.11.00.50","4","Other","[""m""]","","","","",""
"4403.11.00.60","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.12.00","2","Nonconiferous","","Free","","Free","",""
"","3","Poles, piles and posts:","","","","","",""
