HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"9305.20.80.60","4","Of rifles","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"9305.91","2","Of military weapons of heading 9301:","","","","","",""
"9305.91.10.00","3","Of rifles","[""kg""]","Free","","55%","",""
"9305.91.20.00","3","Of shotguns","[""kg""]","Free","","55%","",""
"9305.91.30","3","Other","","Free","","27.5%","",""
"9305.91.30.10","4","Of artillery weapons of 9301.10","[""kg""]","","","","",""
"9305.91.30.30","4","Other","[""kg""]","","","","",""
"9305.99","2","Other:","","","","","",""
"9305.99.40.00","3","Of articles of heading 9303 other than shotguns or rifles","[""kg""]","Free","","27.5%","",""
"9305.99.50","3","Of articles of subheading 9304.00.20 or 9304.00.40","","3.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","70%","",""
"9305.99.50.10","4","Parts and accessories of paintball markers","[""kg""]","","","","",""
"9305.99.50.50","4","Other","[""kg""]","","","","",""
"9305.99.60.00","3","Other","[""kg""]","2.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9306","0","Bombs, grenades, torpedoes, mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition and projectiles and parts thereof, including shot and cartridgewads:","","","","","",""
"","1","Shotgun cartridges and parts thereof; air gun pellets:","","","","","",""
"9306.21.00.00","2","Cartridges","[""No.""]","Free","","30%","",""
"9306.29.00.00","2","Other","[""kg""]","Free","","45%","",""
"9306.30","1","Other cartridges and parts thereof:","","","","","",""
"9306.30.41","2","Cartridges and empty cartridge shells","","Free","","30%","",""
"","3","Cartridges containing a projectile:","","","","","",""
"","4","For rifles or pistols","","","","","",""
"9306.30.41.10","5",".22 caliber","[""No.""]","","","","",""
"9306.30.41.20","5","Other","[""No.""]","","","","",""
"9306.30.41.30","4","Other","[""No.""]","","","","",""
"9306.30.41.38","3","Cartridges for riveting or similar tools or for captive-bolt humane killers and parts thereof","[""thousands""]","","","","",""
