HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6501.00","0","Hat forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt:","","","","","",""
"","1","Of fur felt:","","","","","",""
"6501.00.30.00","2","For men or boys","[""doz."",""kg""]","Free","","$16/doz. + 25%","",""
"6501.00.60.00","2","Other","[""doz."",""kg""]","96¢/doz. + 1.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$16/doz. + 25%","",""
"6501.00.90.00","1","Other (459)","[""No."",""kg""]","10.3¢/kg + 10.3%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","88.2¢/kg + 55%","",""
"6502.00","0","Hat shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, not lined, nor trimmed:","","","","","",""
"","1","Of vegetable fibers, of unspun fibrous vegetable materials, of paper yarn or of any combination thereof:","","","","","",""
"6502.00.20.00","2","Sewed","[""doz."",""kg""]","34¢/doz. + 3.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$3/doz. + 50%","",""
"","2","Not sewed:","","","","","",""
"6502.00.40.00","3","Not bleached and not colored","[""doz."",""kg""]","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"6502.00.60","3","Bleached or colored","","Free","","25¢/doz. + 25%","",""
"6502.00.60.30","4","Of paper","[""doz.""]","","","","",""
"6502.00.60.60","4","Other","[""doz."",""kg""]","","","","",""
"6502.00.90","1","Other","","6.8%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA,OM,P,PA, PE,S,SG)","90%","",""
"6502.00.90.30","2","Of man-made fibers (659)","[""doz."",""kg""]","","","","",""
"6502.00.90.60","2","Other","[""doz."",""kg""]","","","","",""
"6504.00","0","Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed:","","","","","",""
"","1","Of vegetable fibers, of unspun fibrous vegetable materials, of paper yarn or of any combination thereof:","","","","","",""
"6504.00.30.00","2","Sewed","[""doz."",""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$3/doz. + 50%","",""
"6504.00.60.00","2","Not sewed","[""doz."",""kg""]","94¢/doz. + 4.6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$3.50/doz. + 50%","",""
"6504.00.90","1","Other","","6.8%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA,NP,OM,P,PA, PE,S,SG)","90%","",""
"","2","Sewed:","","","","","",""
"6504.00.90.15","3","Of man-made fibers (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6504.00.90.45","3","Other","[""doz."",""kg""]","","","","",""
"","2","Not sewed:","","","","","",""
"6504.00.90.60","3","Of man-made fibers (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6504.00.90.75","3","Other","[""doz."",""kg""]","","","","",""
"6505.00","0","Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, whether or not lined or trimmed:","","","","","",""
"6505.00.01.00","1","Hair-nets","[""kg""]","9.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"","1","Other:","","","","","",""
"","2","Felt hats and other felt headgear, made from the hat bodies, hoods or plateaux of heading 6501, whether or not lined or trimmed:","","","","","",""
"6505.00.04","3","Of fur felt","","Free","","$16/doz. + 25%","",""
"6505.00.04.10","4","For men or boys","[""doz."",""kg""]","","","","",""
"6505.00.04.50","4","Other","[""doz."",""kg""]","","","","",""
