HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7901","0","Unwrought zinc:","","","","","",""
"","1","Zinc, not alloyed:","","","","","",""
"7901.11.00.00","2","Containing by weight 99.99 percent or more of zinc","[""kg""]","1.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5%","",""
"7901.12","2","Containing by weight less than 99.99 percent of zinc:","","","","","",""
"7901.12.10.00","3","Casting-grade zinc","[""kg""]","3%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","45%","",""
"7901.12.50.00","3","Other","[""kg""]","1.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5%","",""
"7901.20.00.00","1","Zinc alloys","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7902.00.00.00","0","Zinc waste and scrap","[""kg""]","Free","","11%","",""
"7903","0","Zinc dust, powders and flakes:","","","","","",""
"7903.10.00.00","1","Zinc dust","[""kg""]","0.7¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","3.9¢/kg","",""
"7903.90","1","Other:","","","","","",""
"7903.90.30.00","2","Powders","[""kg""]","0.5¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","3.9¢/kg","",""
"7903.90.60.00","2","Other","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7904.00.00.00","0","Zinc bars, rods, profiles and wire","[""kg""]","4.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7905.00.00.00","0","Zinc plates, sheets, strip and foil","[""kg""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7907.00","0","Other articles of zinc:","","","","","",""
"7907.00.10.00","1","Articles of a type used for household, table or kitchen use; toilet and sanitary wares; all the foregoing and parts thereof of zinc","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"7907.00.20.00","1","Zinc tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves)","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7907.00.60.00","1","Other","[""kg""]","3%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
