HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4602.19","2","Other:","","","","","",""
"4602.19.05.00","3","Fishing baskets or creels","[""No.""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","3","Other baskets and bags, whether or not lined:","","","","","",""
"4602.19.12.00","4","Of willow","[""No.""]","5.8%","Free (A,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,R,S, SG)","50%","",""
"","4","Of palm leaf:","","","","","",""
"4602.19.14.00","5","Wickerwork","[""No.""]","Free","","50%","",""
"4602.19.16.00","5","Other","[""No.""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","4","Other:","","","","","",""
"4602.19.17.00","5","Wickerwork","[""No.""]","Free","","50%","",""
"4602.19.18.00","5","Other","[""No.""]","4.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","3","Luggage, handbags and flatgoods, whether or not lined:","","","","","",""
"4602.19.22.00","4","Of willow","[""No.""]","5.8%","Free (AU,BH, CL,CO,D,IL, JO,KR,MA, OM,P,PA,PE,R,S, SG) 4.6% (E)","50%","",""
"","4","Of palm leaf:","","","","","",""
"4602.19.23.00","5","Articles of a kind normally carried in the pocket or in the handbag","[""No.""]","9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"4602.19.25.00","5","Other","[""No.""]","18%","Free (AU,BH,CL,CO,D,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG) 15.5% (E)","50%","",""
"4602.19.29","4","Other","","5.3%","Free (AU,BH, CL,CO,D,IL, JO,KR,MA, OM,P,PA,PE,R,S, SG) 4.2% (E)","50%","",""
"4602.19.29.20","5","Handbags","[""No.""]","","","","",""
"4602.19.29.40","5","Other","[""No.""]","","","","",""
"","3","Other:","","","","","",""
"","4","Of willow or wood:","","","","","",""
"4602.19.35.00","5","Wickerwork","[""No.""]","Free","","45%","",""
"4602.19.45.00","5","Other","[""No.""]","6.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","4","Other:","","","","","",""
"4602.19.60.00","5","Wickerwork","[""No.""]","Free","","25%","",""
"4602.19.80.00","5","Other","[""No.""]","2.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4602.90.00.00","1","Other","[""kg""]","3.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
