HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7304.24.40","4","Other","","Free","","8.5%","",""
"","5","Having an outside diameter less than <il>215.9 mm</il>:","","","","","",""
"7304.24.40.10","6","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.24.40.20","6","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"","5","Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>285.8 mm</il>:","","","","","",""
"7304.24.40.30","6","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.24.40.40","6","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"","5","Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:","","","","","",""
"7304.24.40.50","6","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.24.40.60","6","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"7304.24.40.80","5","Having an outside diameter exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
"7304.24.60","3","Tubing","","Free","","35%","",""
"","4","Having an outside diameter not exceeding <il>114.3 mm</il>:","","","","","",""
"7304.24.60.15","5","Having a wall thickness not exceeding <il>9.5 mm</il>","[""kg""]","","","","",""
"7304.24.60.30","5","Having a wall thickness exceeding <il>9.5 mm</il>","[""kg""]","","","","",""
"7304.24.60.45","4","Having an outside diameter exceeding <il>114.3 mm</il> but less than <il>215.9 mm</il>","[""kg""]","","","","",""
"7304.24.60.60","4","Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
"7304.24.60.75","4","Having an outside diameter exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
"7304.29","2","Other:","","","","","",""
"","3","Casing:","","","","","",""
"","4","Of iron or nonalloy steel:","","","","","",""
"7304.29.10","5","Threaded or coupled","","Free","","20%","",""
"","6","Having an outside diameter less than <il>215.9 mm</il>:","","","","","",""
"7304.29.10.10","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.29.10.20","7","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"","6","Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>285.8 mm</il>:","","","","","",""
"7304.29.10.30","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.29.10.40","7","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"","6","Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:","","","","","",""
"7304.29.10.50","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.29.10.60","7","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"7304.29.10.80","6","Having an outside diameter exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
"7304.29.20","5","Other","","Free","","1%","",""
"","6","Having an outside diameter less than <il>215.9 mm</il>:","","","","","",""
"7304.29.20.10","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.29.20.20","7","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"","6","Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>285.8 mm</il>:","","","","","",""
