HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2616","0","Precious metal ores and concentrates:","","","","","",""
"2616.10.00","1","Silver ores and concentrates","","0.8¢/kg on lead content","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","8.8¢/kg on copper content + 3.3¢/kg on lead content + 3.7¢/kg on zinc content","",""
"2616.10.00.10","2","Copper content","[""Cu kg""]","","","","",""
"2616.10.00.20","2","Lead content","[""Pb kg""]","","","","",""
"2616.10.00.30","2","Zinc content","[""Zn kg""]","","","","",""
"2616.10.00.40","2","Silver content","[""Ag g""]","","","","",""
"2616.10.00.80","2","Gold content","[""Au g""]","","","","",""
"2616.90.00","1","Other","","1.7¢/kg on lead content","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","8.8¢/kg on copper content + 3.3¢/kg on lead content + 3.7¢/kg on zinc content","",""
"2616.90.00.10","2","Copper content","[""Cu kg""]","","","","",""
"2616.90.00.20","2","Lead content","[""Pb kg""]","","","","",""
"2616.90.00.30","2","Zinc content","[""Zn kg""]","","","","",""
"2616.90.00.40","2","Gold content","[""Au g""]","","","","",""
"2616.90.00.50","2","Other precious metal content","[""g""]","","","","",""
"2617","0","Other ores and concentrates:","","","","","",""
"2617.10.00.00","1","Antimony ores and concentrates","[""kg"",""Sb kg""]","Free","","Free","",""
"2617.90.00","1","Other","","Free","","Free","",""
"2617.90.00.30","2","Beryllium ores and concentrates","[""kg""]","","","","",""
"2617.90.00.60","2","Other","[""kg""]","","","","",""
"2618.00.00.00","0","Granulated slag (slag sand) from the manufacture of iron or steel","[""t""]","Free","","10%","",""
"2619.00","0","Slag, dross (other than granulated slag), scalings and other waste from the manufacture of iron or steel:","","","","","",""
"2619.00.30.00","1","Ferrous scale","[""t""]","Free","","73.8¢/t","",""
"2619.00.90.00","1","Other","[""kg""]","Free","","Free","",""
"2620","0","Slag, ash and residues (other than from the manufacture of iron or steel), containing arsenic, metals or their compounds:","","","","","",""
"","1","Containing mainly zinc:","","","","","",""
"2620.11.00.00","2","Hard zinc spelter","[""kg""]","Free","","5%","",""
"2620.19","2","Other:","","","","","",""
"2620.19.30.00","3","Zinc dross and zinc skimmings","[""kg"",""Zn kg""]","Free","","3.3¢/kg","",""
"2620.19.60","3","Other","","0.7¢/kg on copper content + 0.7¢/kg on lead content","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","8.8¢/kg on copper content + 3.3¢/kg on lead content + 3.7¢/kg on zinc content","",""
"2620.19.60.10","4","Copper content","[""Cu kg""]","","","","",""
"2620.19.60.20","4","Lead content","[""Pb kg""]","","","","",""
