HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6907.22.10.11","5","Tiles, the largest surface area of which is capable of being enclosed in a square the side of which is 30 cm or less","[""m<sup>2<\/sup>""]","","","","",""
"6907.22.10.51","5","Other","[""m<sup>2<\/sup>""]","","","","",""
"","3","Glazed:","","","","","",""
"","4","The largest surface area of which is capable of being enclosed in a square the side of which is less than 7 cm:","","","","","",""
"6907.22.20.00","5","Having not over 3229 tiles per square meter, most of which have faces bounded entirely by straight lines","[""m<sup>2<\/sup>""]","10%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"","5","Other:","","","","","",""
"6907.22.30.00","6","The largest surface area of which is less than 38.7 cm<sup>2</sup>","[""m<sup>2<\/sup>""]","10%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.22.40.00","6","Other","[""m<sup>2<\/sup>""]","8.5%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.22.90","4","Other","","8.5%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.22.90.11","5","Tiles, the largest surface area of which is capable of being enclosed in a square the side of which is 30 cm or less","[""m<sup>2<\/sup>""]","","","","",""
"6907.22.90.51","5","Other","[""m<sup>2<\/sup>""]","","","","",""
"6907.23","2","Of a water absorption coefficient by weight exceeding 10 percent:","","","","","",""
"6907.23.10","3","Unglazed","","10%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.23.10.05","4","Tiles, whether or not rectangular, the largest surface area of which is capable of being enclosed in a square the side of which is less than 7 cm","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"6907.23.10.11","5","Tiles, the largest surface area of which is capable of being enclosed in a square the side of which is 30 cm or less","[""m<sup>2<\/sup>""]","","","","",""
