HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"0603.15.00.00","2","Lilies (<i>Lillium spp.</i>)","[""No.""]","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.2% (JP)","40%","",""
"0603.19.01","2","Other","","6.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.2% (JP)","40%","",""
"0603.19.01.05","3","Anthuriums","[""No.""]","","","","",""
"0603.19.01.07","3","Alstroemeria","[""No.""]","","","","",""
"0603.19.01.09","3","Aster","[""No.""]","","","","",""
"0603.19.01.11","3","Bells of Ireland","[""No.""]","","","","",""
"0603.19.01.13","3","Bird of Paradise","[""No.""]","","","","",""
"0603.19.01.14","3","Calla lilies","[""No.""]","","","","",""
"0603.19.01.15","3","Daffodils","[""No.""]","","","","",""
"0603.19.01.16","3","Delphinium","[""No.""]","","","","",""
"0603.19.01.17","3","Freesia","[""No.""]","","","","",""
"0603.19.01.18","3","Gerbera","[""No.""]","","","","",""
"0603.19.01.19","3","Gladiolus","[""No.""]","","","","",""
"0603.19.01.20","3","Gypsophila","[""No.""]","","","","",""
"0603.19.01.25","3","Hydrangea","[""No.""]","","","","",""
"0603.19.01.27","3","Hypericum","[""No.""]","","","","",""
"0603.19.01.29","3","Lisianthus","[""No.""]","","","","",""
"0603.19.01.31","3","Peony","[""No.""]","","","","",""
"0603.19.01.35","3","Ranunculus","[""No.""]","","","","",""
"0603.19.01.37","3","Scabiosa","[""No.""]","","","","",""
"0603.19.01.40","3","Snapdragons","[""No.""]","","","","",""
"0603.19.01.41","3","Statice","[""No.""]","","","","",""
"0603.19.01.42","3","Stock","[""No.""]","","","","",""
"0603.19.01.43","3","Sunflowers","[""No.""]","","","","",""
"0603.19.01.45","3","Tulips","[""No.""]","","","","",""
"0603.19.01.55","3","Campanula","[""No.""]","","","","",""
"0603.19.01.97","3","Other","[""No.""]","","","","",""
"0603.90.00.00","1","Other","[""No.""]","4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"0604","0","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared:","","","","","",""
"0604.20.00","1","Fresh","","Free","","Free","",""
"0604.20.00.05","2","Aralia","[""No.""]","","","","",""
"0604.20.00.11","2","Aspidistra","[""No.""]","","","","",""
"0604.20.00.15","2","Eucalyptus","[""No.""]","","","","",""
"","2","Evergreen Christmas trees:","","","","","",""
"0604.20.00.20","3","Douglas fir","[""No.""]","","","","",""
"0604.20.00.40","3","Fir except Douglas fir","[""No.""]","","","","",""
"0604.20.00.60","3","Other","[""No.""]","","","","",""
"","2","Ferns:","","","","","",""
"0604.20.00.65","3","Leather leaf","[""No.""]","","","","",""
"0604.20.00.70","3","Other","[""No.""]","","","","",""
"0604.20.00.72","2","Mosses and lichens","[""No.""]","","","","",""
"","2","Palms:","","","","","",""
"0604.20.00.74","3","Chamadorea","[""No.""]","","","","",""
"0604.20.00.78","3","Other","[""No.""]","","","","",""
"0604.20.00.82","2","Pittosporum","[""No.""]","","","","",""
"0604.20.00.84","2","Ruscus","[""No.""]","","","","",""
"0604.20.00.86","2","Other","[""No.""]","","","","",""
"0604.90","1","Other:","","","","","",""
"0604.90.10.00","2","Mosses and lichens","[""No.""]","Free","","Free","",""
"","2","Other:","","","","","",""
"0604.90.30.00","3","Dried or bleached","[""No.""]","Free","","Free","",""
"0604.90.60.00","3","Other","[""No.""]","7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
