HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"0901","0","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion:","","","","","",""
"","1","Coffee, not roasted:","","","","","",""
"0901.11.00","2","Not decaffeinated","","Free","","Free","",""
"","3","Arabica:","","","","","",""
"0901.11.00.15","4","Certified organic","[""kg""]","","","","",""
"0901.11.00.25","4","Other","[""kg""]","","","","",""
"","3","Robusta:","","","","","",""
"0901.11.00.35","4","Certified organic","[""kg""]","","","","",""
"0901.11.00.40","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0901.11.00.50","4","Certified organic","[""kg""]","","","","",""
"0901.11.00.65","4","Other","[""kg""]","","","","",""
"0901.12.00","2","Decaffeinated","","Free","","Free","",""
"","3","Arabica:","","","","","",""
"0901.12.00.20","4","Certified organic","[""kg""]","","","","",""
"0901.12.00.35","4","Other","[""kg""]","","","","",""
"","3","Robusta:","","","","","",""
"0901.12.00.40","4","Certified organic","[""kg""]","","","","",""
"0901.12.00.55","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0901.12.00.60","4","Certified organic","[""kg""]","","","","",""
"0901.12.00.75","4","Other","[""kg""]","","","","",""
"","1","Coffee, roasted:","","","","","",""
"0901.21.00","2","Not decaffeinated","","Free","","Free","",""
"","3","In retail containers weighing 2 kg or less:","","","","","",""
"","4","Arabica:","","","","","",""
"0901.21.00.15","5","Certified organic","[""kg""]","","","","",""
"0901.21.00.20","5","Other","[""kg""]","","","","",""
"","4","Robusta:","","","","","",""
"0901.21.00.25","5","Certified organic","[""kg""]","","","","",""
"0901.21.00.29","5","Other","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"0901.21.00.40","5","Certified organic","[""kg""]","","","","",""
"0901.21.00.49","5","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0901.21.00.55","4","Certified organic","[""kg""]","","","","",""
"0901.21.00.65","4","Other","[""kg""]","","","","",""
"0901.22.00","2","Decaffeinated","","Free","","Free","",""
"","3","In retail containers weighing 2 kg or less:","","","","","",""
"0901.22.00.35","4","Certified organic","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"0901.22.00.40","5","Arabica","[""kg""]","","","","",""
"0901.22.00.50","5","Robusta","[""kg""]","","","","",""
"0901.22.00.55","5","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"","4","Arabica:","","","","","",""
"0901.22.00.65","5","Certified organic","[""kg""]","","","","",""
"0901.22.00.70","5","Other","[""kg""]","","","","",""
"","4","Robusta:","","","","","",""
"0901.22.00.75","5","Certified organic","[""kg""]","","","","",""
"0901.22.00.80","5","Other","[""kg""]","","","","",""
"0901.22.00.90","4","Other","[""kg""]","","","","",""
"0901.90","1","Other:","","","","","",""
"0901.90.10.00","2","Coffee husks and skins","[""kg""]","Free","","10%","",""
"0901.90.20.00","2","Coffee substitutes containing coffee","[""kg""]","1.5¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","6.6¢/kg","",""
"0902","0","Tea, whether or not flavored:","","","","","",""
"0902.10","1","Green tea (not fermented) in immediate packings of a content not exceeding 3 kg:","","","","","",""
"0902.10.10","2","Flavored","","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.2% (JP)","20%","",""
"0902.10.10.15","3","Certified organic","[""kg""]","","","","",""
"0902.10.10.50","3","Other","[""kg""]","","","","",""
"0902.10.90","2","Other","","Free","","Free","",""
"0902.10.90.15","3","Certified organic","[""kg""]","","","","",""
"0902.10.90.50","3","Other","[""kg""]","","","","",""
"0902.20","1","Other green tea (not fermented):","","","","","",""
"0902.20.10.00","2","Flavored","[""kg""]","6.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.2% (JP)","20%","",""
"0902.20.90","2","Other","","Free","","Free","",""
"0902.20.90.15","3","Certified organic","[""kg""]","","","","",""
"0902.20.90.50","3","Other","[""kg""]","","","","",""
"0902.30.00","1","Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg","","Free","","Free","",""
"","2","In tea bags:","","","","","",""
"0902.30.00.15","3","Certified organic","[""kg""]","","","","",""
"0902.30.00.50","3","Other","[""kg""]","","","","",""
"0902.30.00.90","2","Other","[""kg""]","","","","",""
"0902.40.00.00","1","Other black tea (fermented) and other partly fermented tea","[""kg""]","Free","","Free","",""
"0903.00.00.00","0","Maté","[""kg""]","Free","","10%","",""
"0904","0","Pepper of the genus <i>Piper</i>; dried or crushed or ground fruits of the genus <i>Capsicum</i> (peppers) or of the genus <i>Pimenta</i> (e.g., allspice): <i></i><i> </i>","","","","","",""
"","1","Pepper of the genus <i>Piper</i>:","","","","","",""
"0904.11.00","2","Neither crushed nor ground","","Free","","Free","",""
"0904.11.00.20","3","Black","[""kg""]","","","","",""
"0904.11.00.40","3","White","[""kg""]","","","","",""
"0904.12.00.00","2","Crushed or ground","[""kg""]","Free","","2¢/kg","",""
"","1","Fruits of the genus <i>Capsicum</i> or of the genus <i>Pimenta</i>:","","","","","",""
"0904.21","2","Dried, neither crushed nor ground:","","","","","",""
"","3","Of the genus<i style=""line-height: normal;"">Capsicum</i>(including cayenne pepper, paprika and red pepper):","","","","","",""
"0904.21.20.00","4","Paprika","[""kg""]","3¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11¢/kg","",""
"0904.21.40.00","4","Anaheim and ancho pepper","[""kg""]","5¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"0904.21.60","4","Other","","2.5¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11¢/kg","",""
"0904.21.60.10","5","Bell peppers","[""kg""]","","","","",""
"0904.21.60.20","5","Jalapeno peppers","[""kg""]","","","","",""
"0904.21.60.90","5","Other","[""kg""]","","","","",""
"0904.21.80.00","3","Of the genus <i>Pimenta</i> (including allspice)","[""kg""]","Free","","Free","",""
"0904.22","2","Crushed or ground:","","","","","",""
"","3","Of the genus <i>Capsicum</i> (including cayenne Pepper, paprika and red pepper):","","","","","",""
"0904.22.20.00","4","Paprika","[""kg""]","3¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11¢/kg","",""
"0904.22.40.00","4","Anaheim and ancho pepper","[""kg""]","5¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"0904.22.73.00","4","Mixtures of mashed or macerated hot red peppers and salt","[""kg""]","Free","","17.6¢/kg","",""
"0904.22.76.00","4","Other","[""kg""]","5¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","17.6¢/kg","",""
"0904.22.80.00","3","Of the genus <i>Pimenta</i> (including allspice)","[""kg""]","Free","","Free","",""
"0905","0","Vanilla:","","","","","",""
"0905.10.00.00","1","Neither crushed nor ground","[""kg""]","Free","","66¢/kg","",""
"0905.20.00.00","1","Crushed or ground","[""kg""]","Free","","66¢/kg","",""
"0906","0","Cinnamon and cinnamon-tree flowers:","","","","","",""
"","1","Neither crushed nor ground:","","","","","",""
"0906.11.00.00","2","Cinnamon (<i>Cinnamomum zeylanicum Blume</i>)","[""kg""]","Free","","Free","",""
"0906.19.00.00","2","Other","[""kg""]","Free","","Free","",""
"0906.20.00.00","1","Crushed or ground","[""kg""]","Free","","11¢/kg","",""
"0907","0","Cloves (whole fruit, cloves and stems):","","","","","",""
"0907.10.00.00","1","Neither crushed nor ground","[""kg""]","Free","","Free","",""
"0907.20.00.00","1","Crushed or ground","[""kg""]","Free","","Free","",""
"0908","0","Nutmeg, mace and cardamoms:","","","","","",""
"","1","Nutmeg:","","","","","",""
"0908.11.00.00","2","Neither crushed nor ground","[""kg""]","Free","","Free","",""
"0908.12.00.00","2","Crushed or ground","[""kg""]","Free","","Free","",""
"","1","Mace:","","","","","",""
"0908.21.00.00","2","Neither crushed nor ground","[""kg""]","Free","","Free","",""
"0908.22","2","Crushed or ground:","","","","","",""
"0908.22.20.00","3","Bombay or wild mace, ground","[""kg""]","7.4¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","49¢/kg","",""
"0908.22.40.00","3","Other","[""kg""]","Free","","Free","",""
"","1","Cardamoms:","","","","","",""
"0908.31.00.00","2","Neither crushed nor ground","[""kg""]","Free","","Free","",""
"0908.32.00.00","2","Crushed or ground","[""kg""]","Free","","Free","",""
"0909","0","Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries:","","","","","",""
"","1","Seeds of coriander:","","","","","",""
"0909.21.00.00","2","Neither crushed nor ground","[""kg""]","Free","","Free","",""
"0909.22.00.00","2","Crushed or ground","[""kg""]","Free","","Free","",""
"","1","Seeds of cumin:","","","","","",""
"0909.31.00.00","2","Neither crushed nor ground","[""kg""]","Free","","Free","",""
"0909.32.00.00","2","Crushed or ground","[""kg""]","Free","","Free","",""
"","1","Seeds of anise, badian, caraway or fennel; juniper berries:","","","","","",""
