HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5101","0","Wool, not carded or combed:","","","","","",""
"","1","Greasy, including fleece-washed wool:","","","","","",""
"5101.11","2","Shorn wool:","","","","","",""
"","3","Unimproved wool; other wool, not finer than 46s:","","","","","",""
"5101.11.10.00","4","Wool for special uses","[""cy kg"",""kg""]","Free","","Free, under bond","",""
"","4","Other:","","","","","",""
"5101.11.20.00","5","Unimproved wool; other wool, not finer than 40s","[""cy kg"",""kg""]","Free","","55.1¢/clean kg","",""
"5101.11.40.00","5","Other wool, finer than 40s but not finer than 44s","[""cy kg"",""kg""]","Free","","66.1¢/clean kg","",""
"5101.11.50.00","5","Other wool, finer than 44s","[""cy kg"",""kg""]","Free","","77.2¢/clean kg","",""
"5101.11.60","3","Other","","18.7¢/clean kg","Free (AU,BH, CL,CO,E,IL, JO,KR, MA,OM,P, PA,PE,S,SG)","77.2¢/clean kg","",""
"5101.11.60.30","4","Not finer than 58s","[""cy kg"",""kg""]","","","","",""
"5101.11.60.60","4","Finer than 58s","[""cy kg"",""kg""]","","","","",""
"5101.19","2","Other:","","","","","",""
"","3","Unimproved wool; other wool, not finer than 46s:","","","","","",""
"5101.19.10.00","4","Wool for special uses","[""cy kg"",""kg""]","Free","","Free, under bond","",""
"","4","Other:","","","","","",""
"5101.19.20.00","5","Unimproved wool; other wool, not finer than 40s","[""cy kg"",""kg""]","Free","","55.1¢/clean kg","",""
"5101.19.40.00","5","Other wool, finer than 40s but not finer than 44s","[""cy kg"",""kg""]","Free","","66.1¢/clean kg","",""
"5101.19.50.00","5","Other wool, finer than 44s","[""cy kg"",""kg""]","Free","","77.2¢/clean kg","",""
"5101.19.60","3","Other","","18.7¢/clean kg","Free (AU,BH,CL,CO,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","77.2¢/clean kg","",""
"5101.19.60.30","4","Not finer than 58s","[""cy kg"",""kg""]","","","","",""
"5101.19.60.60","4","Finer than 58s","[""cy kg"",""kg""]","","","","",""
"","1","Degreased, not carbonized:","","","","","",""
"5101.21","2","Shorn wool:","","","","","",""
"","3","Not processed in any manner beyond the degreased condition:","","","","","",""
"","4","Unimproved wool; other wool, not finer than 46s:","","","","","",""
"5101.21.10.00","5","Wool for special uses","[""cy kg"",""kg""]","Free","","Free, under bond","",""
"","5","Other:","","","","","",""
"5101.21.15.00","6","Unimproved wool; other wool, not finer than 40s","[""cy kg"",""kg""]","Free","","59.5¢/clean kg","",""
"5101.21.30.00","6","Other wool, finer than 40s but not finer than 44s","[""cy kg"",""kg""]","Free","","70.6¢/clean kg","",""
"5101.21.35.00","6","Other wool, finer than 44s","[""cy kg"",""kg""]","Free","","81.6¢/clean kg","",""
"5101.21.40","4","Other","","20.6¢/clean kg","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","81.6¢/clean kg","",""
"5101.21.40.30","5","Not finer than 58s","[""cy kg"",""kg""]","","","","",""
"5101.21.40.60","5","Finer than 58s","[""cy kg"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5101.21.65.00","4","Unimproved wool; other wool, not finer than 46s.","[""kg""]","Free","","81.6¢/kg + 20%","",""
"5101.21.70.00","4","Other","[""kg""]","6.5¢/kg + 5.3%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81.6¢/kg + 20%","",""
"5101.29","2","Other:","","","","","",""
"","3","Not processed in any manner beyond the degreased condition:","","","","","",""
"","4","Unimproved wool; other wool, not finer than 46s:","","","","","",""
"5101.29.10.00","5","Wool for special uses","[""cy kg"",""kg""]","Free","","Free, under bond","",""
"","5","Other:","","","","","",""
"5101.29.15.00","6","Unimproved wool; other wool, not finer than 40s","[""cy kg"",""kg""]","Free","","59.6¢/clean kg","",""
"5101.29.30.00","6","Other wool, finer than 40s but not finer than 44s","[""cy kg"",""kg""]","Free","","70.6¢/clean kg","",""
"5101.29.35.00","6","Other wool, finer than 44s","[""cy kg"",""kg""]","Free","","81.6¢/clean kg","",""
"5101.29.40","4","Other","","20.6¢/clean kg","Free (AU,BH,CL,CO,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81.6¢/clean kg","",""
"5101.29.40.30","5","Not finer than 58s","[""cy kg"",""kg""]","","","","",""
"5101.29.40.60","5","Finer than 58s","[""cy kg"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5101.29.65.00","4","Unimproved wool; other wool, not finer than 46s","[""kg""]","Free","","81.6¢/kg + 20%","",""
"5101.29.70.00","4","Other","[""kg""]","6.5¢/kg + 5.3%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81.6¢/kg + 20%","",""
"5101.30","1","Carbonized:","","","","","",""
"","2","Not processed in any manner beyond the carbonized condition:","","","","","",""
"5101.30.10.00","3","Unimproved wool; other wool, not finer than 40s","[""kg""]","Free","","75.1¢/kg","",""
"5101.30.15.00","3","Other wool, finer than 40s but not finer than 44s","[""kg""]","Free","","86.1¢/kg","",""
"5101.30.30.00","3","Other wool, finer than 44s but not finer than 46s","[""kg""]","Free","","97¢/kg","",""
"5101.30.40.00","3","Other","[""kg""]","24.4¢/kg","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","97¢/kg","",""
"","2","Other:","","","","","",""
"5101.30.65.00","3","Unimproved wool; other wool, not finer than 46s","[""kg""]","Free","","81.6¢/kg + 20%","",""
"5101.30.70.00","3","Other","[""kg""]","6.5¢/kg + 5.3%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81.6¢/kg + 20%","",""
"5102","0","Fine or coarse animal hair, not carded or combed:","","","","","",""
"","1","Fine animal hair:","","","","","",""
"5102.11","2","Of Kashmir (cashmere) goats:","","","","","",""
"5102.11.10.00","3","Not processed in any manner beyond the degreased or carbonized condition","[""cy kg"",""kg""]","5.1¢/clean kg","Free (AU,BH, CL,CO,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","46.3¢/clean kg","",""
"5102.11.90.00","3","Other","[""cy kg"",""kg""]","4.9¢/kg + 4%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81.6¢/kg + 20%","",""
"5102.19","2","Other:","","","","","",""
"","3","Not processed in any manner beyond the degreased or carbonized condition:","","","","","",""
"5102.19.20.00","4","Hair of the camel","[""cy kg"",""kg""]","5¢/clean kg","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","55¢/clean kg","",""
"5102.19.60","4","Other","","0.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.9%","",""
"5102.19.60.30","5","Hair of the Angora goat","[""cy kg"",""kg""]","","","","",""
"5102.19.60.60","5","Other","[""cy kg"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5102.19.80.00","4","Fur, prepared for hatters' use","[""kg""]","Free","","35%","",""
"5102.19.90.00","4","Other","[""kg""]","4.9¢/kg + 4%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81.6¢/kg + 20%","",""
"5102.20.00.00","1","Coarse animal hair","[""kg""]","Free","","Free","",""
"5103","0","Waste of wool or of fine or coarse animal hair, including yarn waste but excluding garnetted stock:","","","","","",""
"5103.10.00.00","1","Noils of wool or of fine animal hair","[""kg""]","2.6¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50.7¢/kg","",""
"5103.20.00.00","1","Other waste of wool or of fine animal hair","[""kg""]","2.6¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.1¢/kg","",""
"5103.30.00.00","1","Waste of coarse animal hair","[""kg""]","7%","Free (AU,BH,CL,CO,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"5104.00.00.00","0","Garnetted stock of wool or of fine or coarse animal hair","[""kg""]","Free","","57.3¢/kg","",""
"5105","0","Wool and fine or coarse animal hair, carded or combed (including combed wool in fragments):","","","","","",""
"5105.10.00.00","1","Carded wool (400)","[""kg""]","6.5¢/kg + 5.3%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81.6¢/kg + 20%","",""
"","1","Wool tops and other combed wool:","","","","","",""
"5105.21.00.00","2","Combed wool in fragments (400)","[""kg""]","3.7¢/kg + 3%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81.6¢/kg + 20%","",""
"5105.29.00.00","2","Other (400)","[""kg""]","3.9¢/kg + 3.1%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81.6¢/kg + 20%","",""
"","1","Fine animal hair, carded or combed:","","","","","",""
"5105.31.00.00","2","Of Kashmir (cashmere) goats (400)","[""kg""]","6.8¢/kg + 5.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81.6¢/kg + 20%","",""
"5105.39.00.00","2","Other (400)","[""kg""]","6.8¢/kg + 5.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81.6¢/kg +20%","",""
"5105.40.00.00","1","Coarse animal hair, carded or combed","[""kg""]","Free","","20%","",""
"5106","0","Yarn of carded wool, not put up for retail sale:","","","","","",""
"5106.10.00","1","Containing 85 percent or more by weight of wool","","6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.5%","",""
"5106.10.00.10","2","Of which the average fiber diameter is not less than 34.40 microns (400)","[""kg""]","","","","",""
"5106.10.00.90","2","Other (400)","[""kg""]","","","","",""
"5106.20.00.00","1","Containing less than 85 percent by weight of wool (400)","[""kg""]","6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.5%","",""
"5107","0","Yarn of combed wool, not put up for retail sale:","","","","","",""
"5107.10","1","Containing 85 percent or more by weight of wool:","","","","","",""
"5107.10.30.00","2","Of wool fiber with an average fiber diameter of 18.5 microns or less (400)","[""kg""]","6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.5%","",""
"5107.10.60.00","2","Other (400)","[""kg""]","6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.5%","",""
"5107.20","1","Containing less than 85 percent by weight of wool:","","","","","",""
"5107.20.30.00","2","Of wool fiber with an average fiber diameter of 18.5 microns or less (400)","[""kg""]","6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.5%","",""
"5107.20.60.00","2","Other (400)","[""kg""]","6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.5%","",""
"5108","0","Yarn of fine animal hair (carded or combed), not put up for retail sale:","","","","","",""
"5108.10","1","Carded:","","","","","",""
"5108.10.30.00","2","Of Angora rabbit hair (400)","[""kg""]","4%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.5%","",""
"5108.10.40.00","2","Of mohair (400)","[""kg""]","4%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.5%","",""
"5108.10.80.00","2","Other (400)","[""kg""]","4%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.5%","",""
"5108.20","1","Combed:","","","","","",""
"5108.20.30.00","2","Of Angora rabbit hair (400)","[""kg""]","4%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.5%","",""
"5108.20.40.00","2","Of mohair (400)","[""kg""]","4%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.5%","",""
"5108.20.80.00","2","Other (400)","[""kg""]","4%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.5%","",""
"5109","0","Yarn of wool or of fine animal hair, put up for retail sale:","","","","","",""
"5109.10","1","Containing 85 percent or more by weight of wool or of fine animal hair:","","","","","",""
"5109.10.20.00","2","Yarn of wool, colored (dyed or printed) and cut into uniform lengths of not over 8 cm (400)","[""kg""]","Free","","Free","",""
"","2","Other:","","","","","",""
"5109.10.40.00","3","Of Angora rabbit hair (400)","[""kg""]","4%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","55.5%","",""
"","3","Other:","","","","","",""
"5109.10.80.00","4","Of wool fiber with an average fiber diameter of 18.5 microns or less (400)","[""kg""]","6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","55.5%","",""
"5109.10.90.00","4","Other (400)","[""kg""]","6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","55.5%","",""
"5109.90","1","Other:","","","","","",""
"5109.90.20.00","2","Yarn of wool, colored (dyed or printed) and cut into uniform lengths of not over 8 cm (400)","[""kg""]","Free","","Free","",""
"","2","Other:","","","","","",""
"5109.90.40.00","3","Of Angora rabbit hair (400)","[""kg""]","4%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","55.5%","",""
"","3","Other:","","","","","",""
"5109.90.80.00","4","Of wool fiber with an average fiber diameter of 18.5 microns or less (400)","[""kg""]","6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","55.5%","",""
"5109.90.90.00","4","Other (400)","[""kg""]","6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","55.5%","",""
"5110.00.00.00","0","Yarn of coarse animal hair or of horsehair (including gimped horsehair yarn), whether or not put up for retail sale","[""kg""]","Free","","20%","",""
"5111","0","Woven fabrics of carded wool or of carded fine animal hair:","","","","","",""
"","1","Containing 85 percent or more by weight of wool or of fine animal hair:","","","","","",""
