HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2809.20.00","1","Phosphoric acid and polyphosphoric acids","","Free","","Free","",""
"","2","Phosphoric acid:","","","","","",""
"","3","Fertilizer grade:","","","","","",""
"2809.20.00.10","4","Containing less than 65 percent available diphosphorus pentaoxide (P<sub>2</sub>O<sub>5</sub>) equivalents","[""t""]","","","","",""
"2809.20.00.20","4","Other","[""t""]","","","","",""
"2809.20.00.30","3","Other","[""t""]","","","","",""
"2809.20.00.40","2","Polyphosphoric acids","[""t""]","","","","",""
"2810.00.00.00","0","Oxides of boron; boric acids","[""t""]","1.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","8.5%","",""
"2811","0","Other inorganic acids and other inorganic oxygen compounds of nonmetals:","","","","","",""
"","1","Other inorganic acids:","","","","","",""
"2811.11.00.00","2","Hydrogen fluoride (Hydrofluoric acid)","[""kg""]","Free","","Free","",""
"2811.12.00.00","2","Hydrogen cyanide (hydrocyanic acid)","[""kg""]","4.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2811.19","2","Other:","","","","","",""
"2811.19.10.00","3","Arsenic acid","[""kg""]","2.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.9%","",""
"2811.19.30.00","3","Hydrobromic acid","[""kg""]","Free","","25%","",""
"2811.19.61","3","Other","","4.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2811.19.61.10","4","Sulfamic acid","[""kg""]","","","","",""
"2811.19.61.90","4","Other","[""kg""]","","","","",""
"","1","Other inorganic oxygen compounds of nonmetals:","","","","","",""
"2811.21.00.00","2","Carbon dioxide","[""t""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2811.22","2","Silicon dioxide:","","","","","",""
"2811.22.10.00","3","Synthetic silica gel","[""kg""]","3.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2811.22.50.00","3","Other","[""kg""]","Free","","Free","",""
"2811.29","2","Other:","","","","","",""
"2811.29.10.00","3","Arsenic trioxide","[""kg""]","Free","","Free","",""
"2811.29.20.00","3","Selenium dioxide","[""kg""]","Free","","Free","",""
"2811.29.30.00","3","Sulfur dioxide","[""kg""]","4.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2811.29.50.00","3","Other","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","1","III. HALOGEN OR SULFUR COMPOUNDS OF NONMETALS","","","","","",""
"2812","0","Halides and halide oxides of nonmetals:","","","","","",""
"","1","Chlorides and chloride oxides:","","","","","",""
"2812.11.00.00","2","Carbonyl dichloride (phosgene)","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2812.12.00.00","2","Phosphorous oxychloride","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2812.13.00.00","2","Phosphorous trichloride","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2812.14.00.00","2","Phosphorous pentachloride","[""kg""]","Free","","25%","",""
"2812.15.00.00","2","Sulfur monochloride","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2812.16.00.00","2","Sulfur dichloride","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2812.17.00.00","2","Thionyl chloride","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2812.19.00","2","Other","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2812.19.00.10","3","Arsenic trichloride","[""kg""]","","","","",""
"2812.19.00.90","3","Other","[""kg""]","","","","",""
"2812.90.00","1","Other","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2812.90.00.10","2","Sulfur hexafluoride","[""kg""]","","","","",""
"2812.90.00.90","2","Other","[""kg""]","","","","",""
"2813","0","Sulfides of nonmetals; commercial phosphorus trisulfide:","","","","","",""
"2813.10.00.00","1","Carbon disulfide","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2813.90","1","Other:","","","","","",""
"2813.90.10.00","2","Of arsenic","[""kg""]","Free","","Free","",""
"2813.90.20.00","2","Of phosphorus","[""kg""]","Free","","25%","",""
"2813.90.50.00","2","Other","[""kg""]","3.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","1","IV. INORGANIC BASES AND OXIDES, HYDROXIDES AND PEROXIDES OF METALS","","","","","",""
"2814","0","Ammonia, anhydrous or in aqueous solution:","","","","","",""
"2814.10.00.00","1","Anhydrous ammonia","[""t""]","Free","","Free","",""
"2814.20.00.00","1","Ammonia in aqueous solution","[""t"",""NH<sub>3<\/sub> t""]","Free","","Free","",""
"2815","0","Sodium hydroxide (Caustic soda); potassium hydroxide (Caustic potash); peroxides of sodium or potassium:","","","","","",""
"","1","Sodium hydroxide (Caustic soda):","","","","","",""
"2815.11.00.00","2","Solid","[""kg""]","Free","","1.1¢/kg","",""
"2815.12.00.00","2","In aqueous solution (Soda lye or liquid soda)","[""kg"",""NaOH kg""]","Free","","1.1¢/kg","",""
"2815.20.00","1","Potassium hydroxide (Caustic potash)","","Free","","2.2¢/kg","",""
"2815.20.00.50","2","In solid form","[""kg""]","","","","",""
"2815.20.00.90","2","Other","[""kg""]","","","","",""
"2815.30.00.00","1","Peroxides of sodium or potassium","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2816","0","Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides, of strontium or barium:","","","","","",""
"2816.10.00.00","1","Hydroxide and peroxide of magnesium","[""kg""]","3.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2816.40","1","Oxides, hydroxides and peroxides, of strontium or barium:","","","","","",""
"2816.40.10.00","2","Of strontium","[""kg""]","4.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2816.40.20.00","2","Of barium","[""kg""]","2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","10.5%","",""
"2817.00.00.00","0","Zinc oxide; zinc peroxide","[""kg""]","Free","","5.5%","",""
"2818","0","Artificial corundum, whether or not chemically defined; aluminum oxide; aluminum hydroxide:","","","","","",""
"2818.10","1","Artificial corundum, whether or not chemically defined:","","","","","",""
"2818.10.10.00","2","Crude","[""t""]","Free","","Free","",""
"2818.10.20","2","In grains, or ground, pulverized or refined","","1.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.1%","",""
"2818.10.20.10","3","White, pink or ruby, containing more than 97.5 percent by weight of aluminum oxide","[""kg""]","","","","",""
"2818.10.20.90","3","Other","[""kg""]","","","","",""
"2818.20.00.00","1","Aluminum oxide, other than artificial corundum","[""kg""]","Free","","1.1¢/kg","",""
"2818.30.00.00","1","Aluminum hydroxide","[""kg""]","Free","","1.1¢/kg","",""
"2819","0","Chromium oxides and hydroxides:","","","","","",""
"2819.10.00.00","1","Chromium trioxide","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2819.90.00.00","1","Other","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2820","0","Manganese oxides:","","","","","",""
"2820.10.00.00","1","Manganese dioxide","[""kg""]","4.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2820.90.00.00","1","Other","[""kg""]","4.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2821","0","Iron oxides and hydroxides; earth colors containing 70 percent or more by weight of combined iron evaluated as Fe<sub>2</sub>O<sub>3</sub>:","","","","","",""
"2821.10.00","1","Iron oxides and hydroxides","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","2","Synthetic pigments:","","","","","",""
"2821.10.00.10","3","Black","[""kg""]","","","","",""
"2821.10.00.20","3","Red","[""kg""]","","","","",""
"2821.10.00.30","3","Yellow","[""kg""]","","","","",""
"2821.10.00.40","3","Other","[""kg""]","","","","",""
"2821.10.00.50","2","Other","[""kg""]","","","","",""
"2821.20.00.00","1","Earth colors","[""kg""]","5.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"2822.00.00","0","Cobalt oxides and hydroxides; commercial cobalt oxides","","0.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.7%","",""
"2822.00.00.10","1","Cobalt(II, III) oxide (cobalt tetroxide)","[""kg""]","","","","",""
"2822.00.00.90","1","Other","[""kg""]","","","","",""
"2823.00.00.00","0","Titanium oxides","[""kg""]","5.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"2824","0","Lead oxides; red lead and orange lead:","","","","","",""
"2824.10.00.00","1","Lead monoxide (litharge, massicot)","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","12%","",""
"2824.90","1","Other:","","","","","",""
"2824.90.10.00","2","Lead suboxide (leady litharge)","[""kg""]","5.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
