HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5402.45.90","3","Other","","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"","4","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter:","","","","","",""
"5402.45.90.10","5","Multifilament, partially oriented","[""kg""]","","","","",""
"5402.45.90.30","5","Other","[""kg""]","","","","",""
"5402.45.90.40","4","Multifilament, with twist of 5 turns or more per meter (606)","[""kg""]","","","","",""
"5402.46.00.00","2","Other, of polyesters, partially oriented","[""kg""]","8.8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"5402.47","2","Other, of polyesters:","","","","","",""
"5402.47.10","3","Wholly of polyester, measuring not less than <il>75 decitex</il> but not more than <il>80 decitex</il>, and having 24 filaments per yarn","","8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"5402.47.10.20","4","Untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5402.47.10.40","4","With twist of 5 turns or more per meter (606)","[""kg""]","","","","",""
"5402.47.90","3","Other","","8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"5402.47.90.20","4","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5402.47.90.40","4","Multifilament, with twist of 5 turns or more per meter (606)","[""kg""]","","","","",""
"5402.48.00","2","Other, of polypropylene","","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5402.48.00.10","3","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5402.48.00.70","3","Other","[""kg""]","","","","",""
"5402.49","2","Other:","","","","","",""
"5402.49.11.00","3","Colored multifilament, of modacrylic, untwisted or with a twist of less than 5 turns per meter, measuring not less than 22 decitex per filament, certified by the importer to be used in the manufacture of wigs for dolls","[""kg""]","Free","","50%","",""
"5402.49.91","3","Other","","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"","4","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter:","","","","","",""
"5402.49.91.15","5","Of polyethylene","[""kg""]","","","","",""
"5402.49.91.40","5","Other","[""kg""]","","","","",""
"","4","Multifilament, with twist of 5 turns or more per meter:","","","","","",""
"5402.49.91.75","5","Of polyethylene (606)","[""kg""]","","","","",""
"5402.49.91.80","5","Other (606)","[""kg""]","","","","",""
"","1","Other yarn, single, with a twist exceeding 50 turns/m:","","","","","",""
"5402.51.00.00","2","Of nylon or other polyamides (606)","[""kg""]","8.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5402.52","2","Of polyesters:","","","","","",""
"5402.52.10.00","3","Wholly of polyester, measuring not less than <il>75 decitex</il> but not more than <il>80 decitex</il>, and having 24 filaments per yarn (606)","[""kg""]","8.8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"5402.52.90.00","3","Other (606)","[""kg""]","8.8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"5402.53.00.00","2","Of polypropylene (606)","[""kg""]","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5402.59.01.00","2","Other (606)","[""kg""]","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"","1","Other yarn, multiple (folded) or cabled:","","","","","",""
"5402.61.00.00","2","Of nylon or other polyamides (606)","[""kg""]","7.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5402.62.00.00","2","Of polyesters (606)","[""kg""]","7.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"5402.63.00.00","2","Of polypropylene (606)","[""kg""]","7.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5402.69.01.00","2","Other (606)","[""kg""]","7.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5403","0","Artificial filament yarn (other than sewing thread), not put up for retail sale, including artificial monofilament of less than <il>67 decitex</il>:","","","","","",""
"5403.10","1","High tenacity yarn of viscose rayon:","","","","","",""
"5403.10.30","2","Single yarn","","10%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5403.10.30.20","3","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5403.10.30.40","3","Multifilament, with twist of 5 turns or more per meter (606)","[""kg""]","","","","",""
"5403.10.60.00","2","Multiple (folded) or cabled (606)","[""kg""]","9.1%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"","1","Other yarn, single:","","","","","",""
"5403.31.00","2","Of viscose rayon, untwisted or with a twist not ex- ceeding 120 turns/m","","10%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5403.31.00.20","3","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5403.31.00.40","3","Multifilament, with twist of 5 turns or more per meter (606)","[""kg""]","","","","",""
"5403.32.00.00","2","Of viscose rayon, with a twist exceeding 120 turns/m (606)","[""kg""]","10%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5403.33.00","2","Of cellulose acetate","","8.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5403.33.00.20","3","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5403.33.00.40","3","Multifilament, with twist of 5 turns or more per ` meter (606)","[""kg""]","","","","",""
"5403.39","2","Other:","","","","","",""
"5403.39.10.00","3","Textured yarn (600)","[""kg""]","10%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5403.39.90","3","Other","","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5403.39.90.20","4","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5403.39.90.40","4","Multifilament, with twist of 5 turns or more per meter (606)","[""kg""]","","","","",""
"","1","Other yarn, multiple (folded) or cabled:","","","","","",""
"5403.41.00.00","2","Of viscose rayon (606)","[""kg""]","9.1%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5403.42.00.00","2","Of cellulose acetate (606)","[""kg""]","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5403.49","2","Other:","","","","","",""
"5403.49.10.00","3","Textured yarn (600)","[""kg""]","9.1%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5403.49.90.00","3","Other (606)","[""kg""]","7.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5404","0","Synthetic monofilament of <il>67 decitex</il> or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of synthetic textile materials of an apparent width not exceeding 5 mm:","","","","","",""
"","1","Monofilament:","","","","","",""
"5404.11.00.00","2","Elastomeric","[""kg""]","6.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5404.12","2","Other, of polypropylene:","","","","","",""
"5404.12.10.00","3","Not over 254 mm in length","[""kg""]","6.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
