HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"3304","0","Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure preparations:","","","","","",""
"3304.10.00.00","1","Lip make-up preparations","[""kg""]","Free","","75%","",""
"3304.20.00.00","1","Eye make-up preparations","[""kg""]","Free","","75%","",""
"3304.30.00.00","1","Manicure or pedicure preparations","[""kg""]","Free","","75%","",""
"","1","Other:","","","","","",""
"3304.91.00","2","Powders, whether or not compressed","","Free","","75%","",""
"3304.91.00.10","3","Rouges","[""kg""]","","","","",""
"3304.91.00.50","3","Other","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"3304.99.10.00","3","Petroleum jelly put up for retail sale","[""kg""]","Free","","75%","",""
"3304.99.50.00","3","Other","[""kg""]","Free","","75%","",""
"3305","0","Preparations for use on the hair:","","","","","",""
"3305.10.00.00","1","Shampoos","[""kg""]","Free","","75%","",""
"3305.20.00.00","1","Preparations for permanent waving or straightening","[""kg""]","Free","","75%","",""
"3305.30.00.00","1","Hair lacquers","[""kg""]","Free","","88¢/kg + 75%","",""
"3305.90.00.00","1","Other","[""kg""]","Free","","88¢/kg + 75%","",""
"3306","0","Preparations for oral or dental hygiene, including denture fixative pastes and powders; yarn used to clean between the teeth (dental floss), in individual retail packages:","","","","","",""
"3306.10.00.00","1","Dentifrices","[""kg""]","Free","","75%","",""
"3306.20.00.00","1","Yarn used to clean between the teeth (dental floss)","[""kg""]","Free","","88¢/kg + 75%","",""
"3306.90.00.00","1","Other","[""kg""]","Free","","88¢/kg + 75%","",""
"3307","0","Pre-shave, shaving or after-shave preparations, personal deodorants, bath preparations, depilatories and other perfumery, cosmetic or toilet preparations, not elsewhere specified or included; prepared room deodorizers, whether or not perfumed or having disinfectant properties:","","","","","",""
"3307.10","1","Pre-shave, shaving or after-shave preparations:","","","","","",""
"3307.10.10.00","2","Not containing alcohol","[""kg""]","4.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"3307.10.20.00","2","Containing alcohol","[""kg""]","4.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81.7%","",""
"3307.20.00.00","1","Personal deodorants and antiperspirants","[""kg""]","4.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"3307.30","1","Perfumed bath salts and other bath preparations:","","","","","",""
"3307.30.10.00","2","Bath salts, whether or not perfumed","[""kg""]","5.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"3307.30.50.00","2","Other","[""kg""]","4.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"","1","Preparations for perfuming or deodorizing rooms, including odoriferous preparations used during religious rites:","","","","","",""
"3307.41.00.00","2","""Agarbatti"" and other odoriferous preparations which operate by burning","[""kg""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"3307.49.00.00","2","Other","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","73.2%","",""
"3307.90.00.00","1","Other","[""kg""]","5.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
